time,relu_E_pp,linear_E_pp,relu_f1_pp,relu_f2_pp,linear_f1_pp,linear_f2_pp,weak_gate_pp,relu_E_pm,linear_E_pm,relu_f1_pm,relu_f2_pm,linear_f1_pm,linear_f2_pm,weak_gate_pm,relu_E_mp,linear_E_mp,relu_f1_mp,relu_f2_mp,linear_f1_mp,linear_f2_mp,weak_gate_mp,relu_E_mm,linear_E_mm,relu_f1_mm,relu_f2_mm,linear_f1_mm,linear_f2_mm,weak_gate_mm
3.06,0.021463439011217344,6.471010607244061e-14,2.965743720083169,1.7956635487518333,3.0000000005015615,1.9999996402501417,1,1.6218874004605728,6.525368869249312e-14,2.951726979903234,-0.1995987901437406,2.9999999994963353,-1.999999638742303,0,4.327948876322094,6.525368869249312e-14,-0.08494540567578257,1.602062235075057,-2.9999999994963353,1.999999638742303,1,6.499519225884955,6.471010607244061e-14,-0.00010289277199480907,-8.605239751506237e-05,-3.0000000005015615,-1.9999996402501417,0
3.0700000000000003,0.020137974347669275,5.5025234977543036e-14,2.9646902797762236,1.8024419772495757,3.0000000004625087,1.9999996682617658,1,1.6197132624054522,5.548746190569109e-14,2.9518855480331005,-0.20080253326022354,2.999999999535554,-1.999999666871334,0,4.322060831863481,5.548746190569109e-14,-0.08600345332861986,1.6091729414251972,-2.999999999535554,1.999999666871334,1,6.499519232311348,5.5025234977543036e-14,-0.00010289162971751529,-8.605089761031304e-05,-3.0000000004625087,-1.9999996682617658,0
3.08,0.01889962331282197,4.6789855162997725e-14,2.9636582119759507,1.8090064894587803,3.0000000004264953,1.9999996940922877,1,1.6175878139530382,4.7182902483991556e-14,2.952035514838426,-0.20198024591795383,2.9999999995717177,-1.9999996928101214,0,4.316359463798283,4.7182902483991556e-14,-0.08704556978446112,1.6160528485790917,-2.9999999995717177,1.9999996928101214,1,6.499519238664631,4.6789855162997725e-14,-0.00010289049023632277,-8.604943006928267e-05,-3.0000000004264953,-1.9999996940922877,0
3.0900000000000003,0.01774316659082752,3.9787027574610574e-14,2.96264753651396,1.8153621743705286,3.0000000003932863,1.9999997179115379,1,1.6155102572017208,4.012124914564797e-14,2.9521769267708042,-0.20313231759532263,2.9999999996050652,-1.9999997167292067,0,4.31083837632423,4.012124914564797e-14,-0.08807164748126567,1.6227069806556313,-2.9999999996050652,1.9999997167292067,1,6.499519244947703,3.9787027574610574e-14,-0.00010288935347971828,-8.6047993548004e-05,-3.0000000003932863,-1.9999997179115379,0
3.1,0.01666361784543376,3.383228148220347e-14,2.961658226765782,1.821514302768756,3.000000000362663,1.999999739876123,1,1.6134797688166782,3.411648143182146e-14,2.9523098669326933,-0.2042591532068501,2.9999999996358166,-1.9999997387858537,0,4.305491425675042,3.411648143182146e-14,-0.08908161126573773,1.629140207788967,-2.9999999996358166,1.9999997387858537,1,6.4995192511761575,3.383228148220347e-14,-0.00010288821677435564,-8.604658425949943e-05,-3.000000000362663,-1.999999739876123,0
3.1100000000000003,0.015656316102387692,2.876875552315244e-14,2.9606902275737763,1.8274677595445596,3.0000000003344245,1.9999997601304538,1,1.6114955246025058,2.901042041584271e-14,2.952434406262805,-0.20536116070741411,2.999999999664174,-1.999999759125078,0,4.300312570813033,2.901042041584271e-14,-0.09007538700519381,1.6353578626747947,-2.999999999664174,1.999999759125078,1,6.499519257340531,2.876875552315244e-14,-0.00010288708111593812,-8.604520544301307e-05,-3.0000000003344245,-1.9999997601304538,0
3.12,0.014716746997263282,2.446306503487624e-14,2.9597435296771586,1.8332279681970842,3.000000000308385,1.9999997788076969,1,1.6095566679036972,2.4668560937528667e-14,2.9525505640716885,-0.2064387696993784,2.999999999690323,-1.9999997778806042,0,4.295296077349839,2.4668560937528667e-14,-0.091052963853886,1.6413646760336937,-2.999999999690323,1.9999997778806042,1,6.499519263437511,2.446306503487624e-14,-0.00010288594796329737,-8.604385656527371e-05,-3.000000000308385,-1.9999997788076969,0
3.1300000000000003,0.013840710065872801,2.0801787594558242e-14,2.9588181198271744,1.838799898023678,3.0000000002843725,1.9999997960306535,1,1.6076623293859236,2.0976527786994224e-14,2.9526583145846055,-0.20749242021299202,2.9999999997144355,-1.9999997951757484,0,4.290436326496516,2.0976527786994224e-14,-0.0920143180244158,1.6471658655713304,-2.9999999997144355,1.9999997951757484,1,6.499519269475062,2.0801787594558242e-14,-0.00010288481518089718,-8.604253684830835e-05,-3.0000000002843725,-1.9999997960306535,0
3.14,0.01302417834111481,1.7688477355398585e-14,2.957913913165646,1.8441888387271284,3.00000000026223,1.9999998119125577,1,1.605811639687119,1.7837064998252955e-14,2.9527577489408854,-0.20852255133113504,2.9999999997366706,-1.999999811124219,0,4.2857279315860275,1.7837064998252955e-14,-0.09295948333859452,1.6527662204493283,-2.9999999997366706,1.999999811124219,1,6.4995192754552304,1.7688477355398585e-14,-0.00010288368258982959,-8.604124553707575e-05,-3.00000000026223,-1.9999998119125577,0
3.1500000000000004,0.012263421333586207,1.5041122203856723e-14,2.9570307526638526,1.8493995801780838,3.000000000241811,1.9999998265578312,1,1.604003730862921,1.5167471322951603e-14,2.9528489809096063,-0.20952960283489214,2.9999999997571747,-1.9999998258308762,0,4.281165640066869,1.5167471322951603e-14,-0.09388846723187493,1.6581710380236387,-2.9999999997571747,1.9999998258308762,1,6.499519281375622,1.5041122203856723e-14,-0.00010288255135599194,-8.603998207949659e-05,-3.000000000241811,-1.9999998265578312,0
3.16,0.011554874870580439,1.278998475176681e-14,2.956168538945592,1.8544371174955758,3.0000000002229825,1.999999840062763,1,1.602237723545874,1.289742371442391e-14,2.9529320608116794,-0.21051402458909657,2.9999999997760822,-1.999999839392412,0,4.276744393037372,1.289742371442391e-14,-0.09480132600718663,1.6633853082452517,-2.9999999997760822,1.999999839392412,1,6.499519287232763,1.278998475176681e-14,-0.00010288142293296344,-8.603874603273486e-05,-3.0000000002229825,-1.999999840062763,0
3.1700000000000004,0.01089519054793945,1.0875764934319322e-14,2.955327188523409,1.8593062865275927,3.00000000020562,1.9999998525161446,1,1.6005127285773324,1.0967123900246806e-14,2.953006970984092,-0.21147627570150063,2.9999999997935176,-1.9999998518979907,0,4.27245931266043,1.0967123900246806e-14,-0.0956981163840793,1.6684141225174434,-2.9999999997935176,1.9999998518979907,1,6.499519293024985,1.0875764934319322e-14,-0.00010288029826827137,-8.603753680881798e-05,-3.00000000020562,-1.9999998525161446,0
3.18,0.01028121113358982,9.248037896826614e-15,2.95450648845201,1.864011902453882,3.000000000189609,1.9999998639998535,1,1.5988278919736634,9.325723559786408e-15,2.953073870777649,-0.21241679288947957,2.999999999809595,-1.9999998634298317,0,4.268305687335349,9.325723559786408e-15,-0.09657892173230742,1.6732624647495071,-2.999999999809595,1.9999998634298317,1,6.4995192987639605,9.248037896826614e-15,-0.00010287917404819113,-8.603635354204351e-05,-3.000000000189609,-1.9999998639998535,0
