time,A1_persist_count_fraction,A2_persist_count_fraction,A1_persist_mass_fraction,A2_persist_mass_fraction,fixed_R_mass_fraction,dynamic_R_count_fraction,dynamic_R_mass_fraction,reduction_error_all,reduction_error_off_boundary,fixed_R_output_rms_ratio,m_eff_total,m_eff_A1_actual,m_eff_A1_gate_approx
0.91,0.0,0.09090909090909091,0.0,0.11775826360420477,0.960610920286411,0.91,0.7732040605810316,0.9641762310916714,0.9641758877329165,0.9641824842416947,0.16250290399547,0.0058205201186598094,0.0058205201186598094
0.92,0.0,0.09090909090909091,0.0,0.11780319017247023,0.9607305177508947,0.91,0.7731177009471183,0.9641769861467305,0.9641766596605671,0.9641826631579979,0.17513792328393293,0.00627313464819818,0.00627313464819818
0.93,0.0,0.09090909090909091,0.0,0.11784652951505552,0.9608422626107503,0.9,0.7519643059910929,0.9641776298310158,0.9641773193083515,0.9641827856124228,0.18853430719163244,0.0067530266929289335,0.0067530266929289335
0.9400000000000001,0.0,0.09090909090909091,0.0,0.11788831016563289,0.9609464354269048,0.9,0.751880583151813,0.9641781736829085,0.9641778783169703,0.9641828579019446,0.20270370041759023,0.007260613942671719,0.007260613942671719
0.9500000000000001,0.0,0.045454545454545456,0.0,0.05886578896388493,0.9610433006761825,0.905,0.7520095079203046,0.964178627888043,0.964178346968132,0.9641828856907342,0.21765250544751466,0.007796126349553063,0.007796126349553063
0.9600000000000001,0.0,0.045454545454545456,0.0,0.05888476785799621,0.961133107271284,0.895,0.732604928083501,0.9641790016758877,0.9641787345192181,0.9641828738493488,0.23338118698685073,0.008359581191952153,0.008359581191952153
0.9700000000000001,0.0,0.045454545454545456,0.0,0.058903022143945376,0.9612160890638263,0.89,0.7229438376995888,0.964179303333801,0.9641790493427115,0.9641828267167638,0.24988361275350543,0.008950759457294547,0.008950759457294547
0.9800000000000001,0.0,0.045454545454545456,0.0,0.058920563200718236,0.9612924653300752,0.88,0.7043283561132226,0.9641795401715507,0.9641792988107137,0.9641827480185661,0.26714645814132904,0.009569184526174064,0.009569184526174064
0.9900000000000001,0.0,0.045454545454545456,0.0,0.05893740188718456,0.9613624412312791,0.88,0.7042527839288554,0.9641797186544327,0.9641794894610926,0.964182641087611,0.28514870165858364,0.01021410411606131,0.01021410411606131
1.0,0.0,0.045454545454545456,0.0,0.05895354879543019,0.9614262082495355,0.875,0.695357426429437,0.9641798445321016,0.9641796271226583,0.9641825089022344,0.3038612405300935,0.010884476467733871,0.010884476467733871
1.01,0.0,0.045454545454545456,0.0,0.05896901417439635,0.9614839446186467,0.875,0.6952912624949846,0.9641799229623089,0.9641797170074321,0.9641823538813409,0.3232466538246729,0.011578961843746356,0.011578961843746356
1.02,0.0,0.045454545454545456,0.0,0.058983807994526044,0.9615358157272732,0.875,0.6952306206713708,0.9641799584411853,0.9641797636640285,0.9641821782675856,0.34325913961421173,0.012295920327553648,0.012295920327553648
1.03,0.0,0.045454545454545456,0.0,0.05899794044315101,0.9615819744993933,0.875,0.6951753037760329,0.9641799548784921,0.9641797710727844,0.9641819838294143,0.3638446463822588,0.013033416477120531,0.013033416477120531
1.04,0.0,0.0,0.0,0.0,0.9616225617647703,0.88,0.6952932350634075,0.9641799157739851,0.9641797427522448,0.9641817720806185,0.38494121314534385,0.013789231473399138,0.013789231473399138
1.05,0.0,0.045454545454545456,0.0,0.058138229586784024,0.9616577066130338,0.875,0.6950824117722052,0.9641798441399079,0.964179681768051,0.964181544179651,0.40647952581393,0.014560883071713797,0.014560883071713797
1.06,0.0,0.045454545454545456,0.0,0.05814908127956096,0.9616875267139847,0.865,0.6800433543844292,0.9641797425213661,0.9641795907167329,0.9641813011092608,0.42838368668044924,0.015345653187469178,0.015345653187469178
1.07,0.0,0.045454545454545456,0.0,0.05815945141000409,0.9617121286242424,0.865,0.6800058578525504,0.9641796131418131,0.9641794718632238,0.9641810436949914,0.45057218512559327,0.016140622606768296,0.016140622606768296
1.08,0.0,0.045454545454545456,0.0,0.05816935293198845,0.9617316080825312,0.865,0.6799731199728918,0.9641794578551987,0.9641793271205223,0.9641807723844901,0.4729590471796743,0.016942712157558725,0.016942712157558725
1.09,0.0,0.045454545454545456,0.0,0.05817879879922555,0.9617460502812045,0.865,0.6799450119244694,0.9641792781823715,0.9641791580584189,0.9641804875878436,0.4954551303439232,0.017748729151318456,0.017748729151318456
1.1,0.0,0.045454545454545456,0.0,0.058187802108617966,0.9617555301117536,0.865,0.6799214161287899,0.9641790753449768,0.9641789659303084,0.9641801894489552,0.5179695261234417,0.018555417537536666,0.018555417537536666
