time,fraction_neurons_with_any_gate_flip,mean_neuron_gate_flip_fraction,mass_weighted_gate_flip_fraction,frozen_gate_relative_rms_error
4.7700000000000005,0.765,0.04859749999999999,0.049141862352819254,0.003677773332157805
4.78,0.77,0.048771249999999995,0.049439964219557674,0.003704313745317162
4.79,0.77,0.04895250000000001,0.04971558842147188,0.0037308629967842824
4.8,0.755,0.0491225,0.04998283691389858,0.003757416586950704
4.8100000000000005,0.77,0.049321250000000004,0.050307177971821514,0.0037839755861140286
4.82,0.77,0.04951375,0.05062706662361273,0.0038105429492029936
4.83,0.765,0.04971249999999999,0.0509276585944545,0.0038371173596912283
4.84,0.77,0.049905,0.05125634812998568,0.0038636931652140556
4.8500000000000005,0.765,0.05008,0.05156438959911801,0.003890269271958626
4.86,0.765,0.0503025,0.05191966772189936,0.003916845860542759
4.87,0.765,0.05050875,0.05225590857749597,0.003943427275765419
4.88,0.765,0.050711250000000006,0.052577202589457646,0.003970014130327959
4.890000000000001,0.765,0.0509025,0.05291132043269882,0.0039966048713702225
4.9,0.765,0.051132500000000004,0.05328793330462943,0.004023204291579858
4.91,0.77,0.05133,0.05361035624445328,0.004049808902536189
4.92,0.765,0.051538749999999994,0.053937297433725,0.004076413980124084
4.930000000000001,0.77,0.05175125,0.05426732482191483,0.0041030208578357865
4.94,0.77,0.051965000000000004,0.05458838455218927,0.00412963173770502
4.95,0.77,0.05218500000000001,0.05493660133821761,0.004156240765094243
4.96,0.77,0.052385,0.05525688807309099,0.004182841609637703
4.970000000000001,0.77,0.0526,0.0555772647252392,0.004209441988207868
4.98,0.765,0.0528275,0.055916543467692294,0.004236038499355904
4.99,0.755,0.05305125,0.05628122735649379,0.00426263515972967
5.0,0.755,0.05325125,0.05657827262908265,0.004289226256557836
5.010000000000001,0.77,0.053450000000000004,0.056873812425123106,0.004315807945168193
5.0200000000000005,0.77,0.0536425,0.05716337917005383,0.004342380907316243
5.03,0.77,0.053843749999999996,0.05746543853081455,0.004368943317330292
5.04,0.77,0.0540725,0.05782600544390627,0.0043955006438962975
5.05,0.765,0.05429875,0.05816481847501817,0.004422058186047721
5.0600000000000005,0.765,0.05447875,0.05844153439632335,0.004448608280415273
5.07,0.77,0.054667499999999994,0.05872183866614783,0.004475145881525961
5.08,0.77,0.054875,0.05902864422328296,0.004501670488108577
5.09,0.77,0.055084999999999995,0.059341992213161526,0.00452818072530353
5.1000000000000005,0.77,0.055268750000000005,0.05961226250024382,0.00455467692119732
5.11,0.77,0.0554525,0.05989056172230543,0.004581156330720214
5.12,0.77,0.05567625,0.06022535452549897,0.004607625759052305
5.13,0.765,0.055862499999999995,0.06053164330395538,0.0046340855541940045
5.140000000000001,0.765,0.056073750000000006,0.060854257310809456,0.004660535565180811
5.15,0.765,0.05625125,0.06111109397840529,0.004686968376366261
5.16,0.77,0.056444999999999995,0.0613771709034328,0.0047133853607179066
5.17,0.765,0.05665749999999999,0.06169875804651746,0.004739789331681181
5.180000000000001,0.765,0.05687125,0.06201596247620355,0.004766180150264461
5.19,0.765,0.057056249999999996,0.062307440600973714,0.004792559925585285
5.2,0.765,0.05723625,0.06256025368441188,0.004818919842570183
5.21,0.765,0.057466249999999997,0.06290963761198652,0.004845266681462493
5.220000000000001,0.77,0.05770125,0.06325513215020152,0.004871600050021308
5.23,0.77,0.05792625,0.0635831971161436,0.004897922950235417
5.24,0.77,0.058103749999999996,0.06384063253624417,0.004924230707444526
5.25,0.77,0.05830625,0.06414655508493736,0.004950518266893466
