psi_deg,D1<0<D2_on_window,D1_at_cross,D2_at_cross,S,dD1,dD2,final_excess,n_sign_changes,opposite_signs_at_cross,rise,strong_share_of_swing,t_cross,t_min,t_rev
-72.5,True,-0.002266053868370032,0.0022660538683700326,0.011359706550148396,0.0005339216920445,0.000182078188091731,0.011447123884321397,1,True,0.011447123884321397,0.7457008120488965,4.442058572579775,4.44,4.44
-72.4,True,-0.0022679399596620547,0.0022679399596620543,0.011286949720091477,0.0005302877719018172,0.00017879009357577675,0.011373918071891143,1,True,0.011373918071891143,0.7478554862866096,4.450374764598322,4.45,4.45
-72.3,True,-0.0022700385198965297,0.00227003851989653,0.01121426352184779,0.0005267979037865585,0.00017594285753552447,0.011300779881098177,1,True,0.011300779881098177,0.7496333396051782,4.458549492378193,4.46,4.46
-72.2,True,-0.0022718013098378125,0.002271801309837812,0.011141649571398349,0.0005231851656140891,0.00017327088434790144,0.01122771352309826,1,True,0.01122771352309826,0.7512105977723106,4.466979926589111,4.47,4.47
-72.1,True,-0.0022735026380516186,0.0022735026380516186,0.011069108843899667,0.0005197251585086571,0.00017009769000983456,0.011154723908863573,1,True,0.011154723908863573,0.7534183009809731,4.475458272766801,4.48,4.48
-72.0,True,-0.0022754194311913134,0.0022754194311913134,0.010996651075675934,0.000516401015571212,0.00016726990098549352,0.011081824360102355,1,True,0.011081824360102355,0.7553356491629848,4.483774251352621,4.48,4.48
-71.9,True,-0.0022769974282901857,0.0022769974282901852,0.010924283818951608,0.0005129981202647315,0.0001643915065379785,0.01100900333422361,1,True,0.01100900333422361,0.7573161736858754,4.492349144745298,4.49,4.49
-71.8,True,-0.0022785131011934115,0.002278513101193411,0.010851995141817616,0.0005096626752035694,0.00016146693242092332,0.010936263036835592,1,True,0.010936263036835592,0.7594102084209247,4.500973914896955,4.5,4.5
-71.7,True,-0.0022799656262739686,0.0022799656262739686,0.010779787007857589,0.0005063750213113692,0.0001586013137655621,0.010863605084131978,1,True,0.010863605084131978,0.7614932962280327,4.509653506621101,4.51,4.51
-71.6,True,-0.002281633878886364,0.002281633878886364,0.010707660957063048,0.0005032770803752307,0.0001557970881795362,0.010791023693215773,1,True,0.010791023693215773,0.7636122069217617,4.518179528394715,4.5200000000000005,4.5200000000000005
