t,tau,S,m1,m2,L1,L2,L,Sdot_labels,Sdot_data,Ldot_labels,strong_mass,strong_theta_mean_deg,strong_theta_std_deg,strong_theta_q05_deg,strong_theta_q25_deg,strong_theta_q50_deg,strong_theta_q75_deg,strong_theta_q95_deg,strong_psi_mean_deg,strong_inactive_frac@-85.0,weak_mass,weak_theta_mean_deg,weak_theta_std_deg,weak_theta_q05_deg,weak_theta_q25_deg,weak_theta_q50_deg,weak_theta_q75_deg,weak_theta_q95_deg,weak_psi_mean_deg,weak_inactive_frac@-85.0,strip0.01@-85.0,strip0.03@-85.0,strip0.1@-85.0,E@-85.0,D1@-85.0,D2@-85.0,D1_strong_radial@-85.0,D1_strong_inrot@-85.0,D1_strong_outrot@-85.0,D1_strong@-85.0,D1_weak_radial@-85.0,D1_weak_inrot@-85.0,D1_weak_outrot@-85.0,D1_weak@-85.0,D1_other_radial@-85.0,D1_other_inrot@-85.0,D1_other_outrot@-85.0,D1_other@-85.0,D2_strong_radial@-85.0,D2_strong_inrot@-85.0,D2_strong_outrot@-85.0,D2_strong@-85.0,D2_weak_radial@-85.0,D2_weak_inrot@-85.0,D2_weak_outrot@-85.0,D2_weak@-85.0,D2_other_radial@-85.0,D2_other_inrot@-85.0,D2_other_outrot@-85.0,D2_other@-85.0
15.23,137.07,2.0597194376865082,1.0000506226068007,0.9999547141456927,1.4440234060868247e-05,5.078470274145534e-05,3.2612468401161796e-05,0.0023223340626670926,0.002322333978428982,-3.4990011048553475e-06,1.028866041645739,6.625382342403512,6.1106549494131155,1.8802297374645185,4.388215896658766,5.594233037238332,6.775070222734843,16.90399948918615,-6.085937093661576,0.6350560604300081,1.03080353359163,-6.743447293996095,6.495167747870796,-21.64463415685027,-5.2376221135185,-4.754870553136926,-4.669220230977326,-4.290998431103918,6.113441800678493,1.0,0.11934445328455646,0.30709028097577895,0.4613187040343007,0.4969358937947825,-2.986978452401857e-05,0.000500839977106526,-4.7369609559812706e-07,-1.565792008017075e-05,-1.3731846628423686e-05,-2.9863462804192564e-05,-0.0,-0.0,-0.0,0.0,-6.324171860146952e-09,1.430288597392178e-10,-1.4057682622381652e-10,-6.321719826631551e-09,-2.2715349532048814e-06,0.0005032725068195922,-1.6154101905621071e-07,0.0005008394308473311,-0.0,-0.0,-0.0,0.0,-2.3173123875287143e-12,5.449701668393879e-10,3.606340037034641e-12,5.46259194488894e-10
15.24,137.16,2.0597426532049603,1.00005058335984,0.9999547661824315,1.4426493064369922e-05,5.0728529387920056e-05,3.257751122614499e-05,0.002320769939308201,0.002320769855197741,-3.4924341706288515e-06,1.028876745270979,6.627281406555906,6.109740809804459,1.8829024148709677,4.391003442859448,5.596591600036639,6.776668669343527,16.901732791435016,-6.086813881740653,0.635530935663064,1.030816045230446,-6.744276372598798,6.494721351147705,-21.643476869501196,-5.238613899788068,-4.756009587708528,-4.670364112935235,-4.2921432907774,6.115169159160739,1.0,0.11930277785186708,0.3070532289727127,0.46131918498823254,0.49694059929099293,-2.9808888754916778e-05,0.0004998365373234455,-4.7279500045408724e-07,-1.5633540624268854e-05,-1.3696235876854572e-05,-2.9802571501577514e-05,-0.0,-0.0,-0.0,0.0,-6.319598993608017e-09,1.4281691440034926e-10,-1.404712598405053e-10,-6.3172533390481735e-09,-2.2657518480795243e-06,0.0005022628184881927,-1.610755316005981e-07,0.0004998359911085125,-0.0,-0.0,-0.0,0.0,-2.316061839715732e-12,5.449261789374402e-10,3.604815629522923e-12,5.462149327272473e-10
15.25,137.25,2.0597658530915917,1.0000505441813732,0.9999548181431768,1.4412776045195513e-05,5.067246322248761e-05,3.254261963384156e-05,0.002319207705749877,0.0023192076217825957,-3.485884384303487e-06,1.0288874420089633,6.629178570902284,6.108827620823852,1.8855730501080812,4.393788050320357,5.598947476668196,6.77826552889968,16.899468043475856,-6.0876899147398,0.6360056384234849,1.030828548124868,-6.745104711583776,6.494275378389647,-21.642320463466774,-5.239604781499512,-4.757147562338176,-4.671506937475715,-4.293287122140251,6.1168949794169345,1.0,0.11936544581158245,0.3069782667787358,0.4613196655764765,0.4969452944404965,-2.9748132335826732e-05,0.0004988347265447341,-4.71895930016071e-07,-1.5609180527637407e-05,-1.3660743084804583e-05,-2.974181954245806e-05,-0.0,-0.0,-0.0,0.0,-6.3150328479291785e-09,1.4260534478386829e-10,-1.4036586671145529e-10,-6.312793369856766e-09,-2.259986593390169e-06,0.0005012547785821608,-1.6061161456053423e-07,0.0004988341803742101,-0.0,-0.0,-0.0,0.0,-2.3148102355901083e-12,5.448820480559832e-10,3.6032867382348456e-12,5.46170524558628e-10
15.26,137.34,2.059789037365399,1.0000505050711723,0.9999548700267986,1.439908294060124e-05,5.0616503976720936e-05,3.2507793458661085e-05,0.0023176473672677144,0.0023176472833575535,-3.479351692098119e-06,1.0288981318677701,6.63107383881448,6.107915380812138,1.8882416458236662,4.396569724041683,5.60130067243379,6.779860804464304,16.897205242465084,-6.088565193872272,0.6367175089857141,1.0308410422858152,-6.74593231219382,6.493829828861896,-21.64116493746341,-5.240594760206697,-4.758284478847449,-4.672648706394151,-4.294429926904911,6.118619263807484,1.0,0.11932343706582771,0.30690298849932324,0.46133458015906803,0.4969499789707584,-2.9678489773051508e-05,0.0004975359752524054,-4.7099889504151386e-07,-1.5575813217955187e-05,-1.3625369320149516e-05,-2.9672181433146217e-05,-0.0,-0.0,-0.0,0.0,-6.310473409198365e-09,1.4239415030562666e-10,-1.4026064664291216e-10,-6.308339905535652e-09,-2.2542395011882416e-06,0.0004999498179392116,-1.6014931158945097e-07,0.0004975354291264338,-0.0,-0.0,-0.0,0.0,-2.31355759572944e-12,5.448377791585149e-10,3.601753366429216e-12,5.461259749292148e-10
15.27,137.43,2.0598122060452613,1.000050466028646,0.9999549218335794,1.4385413677012764e-05,5.0560651350936624e-05,3.247303251397469e-05,0.0023160889238105584,0.0023160888401592074,-3.4728360362165735e-06,1.028908814855451,6.632967213661553,6.107004088114546,1.8909082046625891,4.399348469017164,5.603651192626617,6.781454499096919,16.894944385572984,-6.089439720344592,0.6371917776648178,1.0308535277241153,-6.74675917567089,6.493384701832123,-21.640010290216704,-5.241583837463541,-4.759420339037404,-4.673789421487182,-4.295571706781296,6.1203420146804115,1.0,0.11928130042779123,0.30686553230735586,0.4613350599412342,0.4969546530298845,-2.9618017688925554e-05,0.0004965376836082907,-4.701039044602476e-07,-1.555149634341799e-05,-1.3590113548106014e-05,-2.9611713795984252e-05,-0.0,-0.0,-0.0,0.0,-6.305920675753881e-09,1.4218333360487872e-10,-1.401555993128655e-10,-6.303892941461868e-09,-2.2485103563829652e-06,0.0004989453364796337,-1.596885962381392e-07,0.0004965371375270126,-0.0,-0.0,-0.0,0.0,-2.312303912103387e-12,5.447933697849088e-10,3.60021551923088e-12,5.460812813920364e-10
15.280000000000001,137.52,2.059835359150142,1.0000504270540602,0.9999549735632638,1.437176819408918e-05,5.0504905104588124e-05,3.243833664933865e-05,0.0023145323678601085,0.0023145322843159174,-3.466337361257846e-06,1.028919490980047,6.634858698795117,6.106093741080026,1.8935727292587707,4.402124290221017,5.605999042515254,6.783046615838625,16.892685469961684,-6.090313495363415,0.6376658720527172,1.0308660044506892,-6.747585303248957,6.492939996570335,-21.638856520449377,-5.24257201481488,-4.760555144701771,-4.674929084545269,-4.296712463470531,6.122063234389608,1.0,0.11923903599137363,0.3067897707804889,0.46134994305346866,0.4969593168056549,-2.9557683657614002e-05,0.0004955410127766527,-4.692109235646072e-07,-1.552719888012004e-05,-1.3554974401484778e-05,-2.9551384205169428e-05,-0.0,-0.0,-0.0,0.0,-6.301374609443176e-09,1.4197288850068176e-10,-1.4005072371524672e-10,-6.29945244465774e-09,-2.242798890493139e-06,0.0004979424950659621,-1.592294352570937e-07,0.0004955404667402118,-0.0,-0.0,-0.0,0.0,-2.311049173805766e-12,5.447488170499586e-10,3.598673202299177e-12,5.46036441078452e-10
15.290000000000001,137.61,2.0598584966989306,1.0000503881470846,0.9999550252156637,1.4358146452969318e-05,5.044926492271594e-05,3.240370568784263e-05,0.0023129777025299204,0.0023129776190737904,-3.4598556125477246e-06,1.0289301602495682,6.636748297561237,6.105184338061373,1.896235222242588,4.404897192619456,5.608344227358038,6.784637157724079,16.890428492807832,-6.091186520130925,0.6383768244440552,1.0308784724764164,-6.748410696163326,6.4924957123474885,-21.63770362688837,-5.243559293805106,-4.761688897643165,-4.676067697358053,-4.29785219867371,6.123782925281758,1.0,0.11907111965260601,0.30664131582485393,0.46135042203213417,0.4969639698789365,-2.948847707719321e-05,0.0004942482046804374,-4.683199801486511e-07,-1.5493908328457492e-05,-1.3519953750168095e-05,-2.948218205877424e-05,-0.0,-0.0,-0.0,0.0,-6.296835215986821e-09,1.417628172103657e-10,-1.399460201699541e-10,-6.295018418946409e-09,-2.2371056003908736e-06,0.0004966435361859446,-1.587718965757784e-07,0.000494247658688978,-0.0,-0.0,-0.0,0.0,-2.3097934118754632e-12,5.447041283427372e-10,3.5971264180885324e-12,5.459914613489503e-10
15.3,137.70000000000002,2.0598816187103925,1.0000503493077506,0.999955076792769,1.434454840171172e-05,5.039373054454679e-05,3.2369139473129255e-05,0.0023114249136356817,0.0023114248300214737,-3.4533907359905303e-06,1.0289408226719796,6.638636013303149,6.1042758774153505,1.8988956862434647,4.407667181172738,5.610686752404465,6.78622612778561,16.88817345129419,-6.092058795842554,0.638850480214336,1.0308909318120978,-6.749235355650271,6.492051848436315,-21.63655160826933,-5.244545675981004,-4.762821599671037,-4.677205261706613,-4.298990914091682,6.125501089692428,1.0,0.11902860830403554,0.3066758278922881,0.461350900648035,0.49696861269909415,-2.9428424867895697e-05,0.0004932550387456115,-4.6743104388073853e-07,-1.5469654266735804e-05,-1.3485048966433332e-05,-2.9422134277049875e-05,-0.0,-0.0,-0.0,0.0,-6.292302475981447e-09,1.4155311745471672e-10,-1.398414878299341e-10,-6.290590846356664e-09,-2.2314298973174483e-06,0.0004956442386007187,-1.5831590412369621e-07,0.0004932544927992774,-0.0,-0.0,-0.0,0.0,-2.308536597268146e-12,5.446592960260922e-10,3.5955751736761584e-12,5.459463346025002e-10
15.31,137.79,2.059904725203367,1.0000503105360026,0.9999551282929078,1.4330973962056686e-05,5.033830164786039e-05,3.233463780495854e-05,0.0023098740028756476,0.0023098739194299185,-3.446942668655786e-06,1.0289514782552933,6.640521849351783,6.1033683575023785,1.901554123885905,4.41043426082734,5.6130266228848305,6.787813529041722,16.885920342609975,-6.092930323696524,0.6395607706783486,1.0309033824685598,-6.750059282937821,6.491608404111338,-21.63540046332396,-5.245531162877492,-4.763953252582424,-4.678341779365369,-4.300128611416452,6.12721772995615,1.0,0.11898596958347483,0.3065270325857955,0.4613657518831162,0.49697324518190794,-2.935950717496745e-05,0.0004919662736934925,-4.6654410306292386e-07,-1.543641681170509e-05,-1.3450260090503391e-05,-2.9353221005271404e-05,-0.0,-0.0,-0.0,0.0,-6.287776355109066e-09,1.4134378473179385e-10,-1.3973712594142476e-10,-6.286169696318697e-09,-2.22577185425756e-06,0.0004943493611165949,-1.578614699064484e-07,0.0004919657277924308,-0.0,-0.0,-0.0,0.0,-2.307278737884479e-12,5.446143216590738e-10,3.594019473295336e-12,5.459010623944847e-10
15.32,137.88,2.0599278161966574,1.000050271831058,0.9999551797161974,1.4317423072050795e-05,5.028297800504375e-05,3.2300200538547274e-05,0.0023083249754668076,0.0023083248921006274,-3.44051136289667e-06,1.028962127007477,6.642405809027971,6.102461776687151,1.9042105377827125,4.413198436516346,5.615363844014742,6.789399364501361,16.883669163941452,-6.093801104886614,0.6400339845981357,1.030915824456638,-6.750882479251837,6.491165378649021,-21.63425019078767,-5.2465157560271045,-4.765083858154537,-4.679477252109049,-4.301265292337623,6.12893284840524,1.0,0.11904714236187075,0.30645024064789367,0.46136622969923946,0.4969778671381257,-2.9299735076971137e-05,0.0004909766015565189,-4.656591940573847e-07,-1.5412206260674028e-05,-1.3415587867261551e-05,-2.9293453321992966e-05,-0.0,-0.0,-0.0,0.0,-6.283256868618634e-09,1.4113482494791721e-10,-1.3963293478259458e-10,-6.28175497845331e-09,-2.220131675708845e-06,0.0004933535959998165,-1.5740862323578156e-07,0.0004909760557008719,-0.0,-0.0,-0.0,0.0,-2.306019848763589e-12,5.445692089413368e-10,3.592459320883776e-12,5.45855648413457e-10
15.33,137.97,2.0599508917090557,1.0000502331931267,0.9999552310638093,1.4303895698773835e-05,5.022775930336274e-05,3.226582750106829e-05,0.0023067778202623627,0.002306777736986241,-3.434096760122507e-06,1.0289727689365038,6.644287895643982,6.101556133337865,1.906864930546116,4.415959713161696,5.617698420994936,6.79098363716362,16.881419912487633,-6.094671140604774,0.6405070211192068,1.0309282577871506,-6.751704945812891,6.490722771328132,-21.63310078939681,-5.24749945695815,-4.7662134181620575,-4.680611681708456,-4.302400958536581,6.130646447367426,1.0,0.11900417696751661,0.30641202533504297,0.4613667071543113,0.4969824789173843,-2.924009910627351e-05,0.0004899885383255957,-4.647762866920511e-07,-1.5388015279970488e-05,-1.338103019293308e-05,-2.923382175959562e-05,-0.0,-0.0,-0.0,0.0,-6.278744000473133e-09,1.409262355825585e-10,-1.3952891368292114e-10,-6.277346678573496e-09,-2.214508901252626e-06,0.0004923594587217846,-1.5695730502146087e-07,0.0004899879925155105,-0.0,-0.0,-0.0,0.0,-2.30475990799305e-12,5.445239518254603e-10,3.5908947229853497e-12,5.458100866404527e-10
15.34,138.06,2.0599739517592646,1.00005019462224,0.9999552823357529,1.4290391773808875e-05,5.0172645308411694e-05,3.223151854111028e-05,0.0023052325336938052,0.002305232450241452,-3.4276988104339387e-06,1.0289834040503696,6.646168112511185,6.100651425826679,1.9095173047865577,4.4187180956824665,5.6200303590200305,6.7925663500276166,16.87917258545428,-6.0955404320437525,0.6412163771398143,1.0309406824708045,-6.752526683841235,6.490280581427538,-21.63195225788988,-5.248482267195402,-4.7673419343873,-4.681745069930541,-4.30353561169534,6.132358529157786,1.0,0.11896108438732618,0.30633475165529694,0.4613815265470205,0.49698708031713257,-2.9171611323929682e-05,0.000488705684635396,-4.638953730845009e-07,-1.535485528997521e-05,-1.3346587716099627e-05,-2.9165338379159338e-05,-0.0,-0.0,-0.0,0.0,-6.2742377204300585e-09,1.4071801215588464e-10,-1.3942506208598122e-10,-6.272944770360156e-09,-2.2089037540551186e-06,0.0004910705501719542,-1.5650754688397278e-07,0.0004887051388710151,-0.0,-0.0,-0.0,0.0,-2.303498932055747e-12,5.444785542500033e-10,3.589325683302722e-12,5.457643810012502e-10
