psi_deg,x1,x2,slope_x2_over_x1,selector_switch,switch_transition,t_switch,actual_persistent_swing,actual_S_normalized,t_reversal_actual,t_rebound_actual,predicted_persistent_swing,predicted_S_normalized,t_reversal_predicted,t_rebound_predicted,predicted_switch_delta,predicted_switch_delta_normalized,on_to_off_condition_value,E_on_at_switch,E_off_at_switch,actual_loss_change_switch_pm0p20,selector_model_relative_rms_over_time,switch_before_t_block
-158.0,-0.9271838545667873,-0.37460659341591224,0.40402622583515707,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-157.5,-0.9238795325112867,-0.3826834323650899,0.4142135623730952,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-157.0,-0.9205048534524404,-0.39073112848927377,0.42447481620960476,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-156.5,-0.917060074385124,-0.39874906892524614,0.4348123749609335,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-156.0,-0.9135454576426008,-0.40673664307580043,0.4452286853085365,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-155.5,-0.9099612708765431,-0.4146932426562392,0.4557262555325849,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-155.0,-0.9063077870366499,-0.4226182617406995,0.4663076581549987,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-154.5,-0.9025852843498606,-0.4305110968082951,0.4769755326981601,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-154.0,-0.898794046299167,-0.4383711467890773,0.48773258856586127,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-153.5,-0.894934361602025,-0.446197813109809,0.49858160805343177,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-153.0,-0.8910065241883678,-0.45399049973954686,0.5095254494944289,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
