index,time,phi_deg,spread_q05_deg,spread_q50_deg,spread_q95_deg,spread_90_width_deg
187,1.87,77.9028607817048,-31.753478181215996,11.653462270293886,14.360808821057674,46.11428700227367
188,1.8800000000000001,78.25972266987294,-31.574276501283293,11.2897833841389,13.938374437932282,45.512650939215575
189,1.8900000000000001,78.60378475596164,-31.38302694035525,10.939281414632376,13.53000812670075,44.913035067056
190,1.9000000000000001,78.935488019984,-31.180409127667502,10.601421468464366,13.135222100086594,44.315631227754096
191,1.9100000000000001,79.2552660247266,-30.967093459319244,10.275846936227026,12.75360839749024,43.720701856809484
192,1.9200000000000002,79.56354178634321,-30.743737498782025,9.962095875479179,12.384715773379867,43.12845327216189
193,1.9300000000000002,79.8607366785371,-30.51099462150023,9.659749728357156,12.028146546869351,42.53914116836958
194,1.9400000000000002,80.14726148799828,-30.269504666541792,9.368450642228083,11.6834862863397,41.95299095288149
195,1.9500000000000002,80.4235226536029,-30.019899700524945,9.087758953509734,11.35034083093285,41.370240531457796
196,1.9600000000000002,80.6898962677833,-29.76277769276095,8.81726007629834,11.028346570729411,40.79112426349036
197,1.9700000000000002,80.9467467707804,-29.498720787740098,8.556550077245788,10.729961391537529,40.22868217927763
198,1.9800000000000002,81.19445798922357,-29.228326144222905,8.305264050176277,10.428893622375142,39.65721976659805
199,1.99,81.43339703110874,-28.95216949913103,8.063056098122843,10.137842887798485,39.090012386929516
200,2.0,81.66390831704844,-28.670798780929374,7.82959421663648,9.856457232680668,38.52725601361004
201,2.0100000000000002,81.88631673142594,-28.38473701288808,7.604481369554719,9.584409521568318,37.9691465344564
202,2.02,82.10094351524512,-28.094497888070777,7.4301708396174035,9.32137402710984,37.41587191518062
203,2.0300000000000002,82.30810435364899,-27.800583631446415,7.219581248429449,9.067027470785206,36.86761110223162
204,2.04,82.50809322126179,-27.503468603479348,7.016446465378152,8.821064736327315,36.32453333980666
205,2.0500000000000003,82.70119579245915,-27.203612534399525,6.820495191141333,8.583168055112935,35.78678058951246
206,2.06,82.88768994173184,-26.901460807730786,6.63148712968615,8.353092918490233,35.25455372622102
207,2.0700000000000003,83.06783296150418,-26.597431519070255,6.449128956549771,8.130547888439878,34.727979407510134
208,2.08,83.24188045736302,-26.291934226832865,6.273117708738425,7.915297179577493,34.20723140641036
209,2.0900000000000003,83.41007075116292,-25.985354244046363,6.103270711846676,7.707062716554162,33.692416960600525
210,2.1,83.572641563415,-25.678069166893295,5.93935196304011,7.505581714477557,33.18365088137085
211,2.1100000000000003,83.72982163372451,-25.37044052235882,5.781066758696227,7.31063515712097,32.68107567947979
212,2.12,83.88182715140191,-25.062810062620116,5.628193094428639,7.121970377806917,32.18478044042703
213,2.13,84.02886900303805,-24.755506986595634,5.480516747094384,6.93933823757078,31.694845224166414
214,2.14,84.17113195223915,-24.448827115591314,5.337849502606787,6.762584459810114,31.211411575401428
215,2.15,84.30881397536946,-24.1430721678704,5.199989793019512,6.591479269838459,30.73455143770886
216,2.16,84.44209554476852,-20.816109353649836,5.066753384786125,6.425828830572755,27.24193818422259
217,2.17,84.57115726387624,-20.53482458860981,4.93795572314491,6.265480183145655,26.800304771755464
218,2.18,84.69615224493597,-20.255506502538367,4.813439598531318,6.1102060195867125,26.36571252212508
219,2.19,84.81722371355191,-19.978338699025755,4.693057577996996,5.959934243582808,25.938272942608563
220,2.2,84.93454126808211,-19.70352498746476,4.576635655168843,5.8144123789574,25.51793736642216
