time,loss_full,loss_reduced,edot_full,edot_reduced,a_eta_cross,b_eta_cross,c_eta_cross,d_eta_cross,G_eta_cross,eta2G_eta_cross,abs_error_eta_cross,a_eta_sqrt,b_eta_sqrt,c_eta_sqrt,d_eta_sqrt,G_eta_sqrt,eta2G_eta_sqrt,abs_error_eta_sqrt,a_eta_formula,b_eta_formula,c_eta_formula,d_eta_formula,G_eta_formula,eta2G_eta_formula,abs_error_eta_formula
3.64,0.4829903831688137,0.4818524932138637,-0.00011467616927307541,0.0001331130550274086,0.9333368406456041,-1.4733999979834076,-8.288797864661047,56.904921143787405,1.2047605664931886,0.0001425068885795566,9.393833552147996e-06,0.9333368406456041,-0.1982294958914517,-1.115165077037284,1.030018556935221,0.021807002192590713,0.0001425068885795566,9.393833552147996e-06,0.9333368406456041,-0.48073913383591893,-2.7044587426713433,6.057974616984454,0.12825619972160096,0.00014250688857955662,9.393833552148024e-06
3.6500000000000004,0.48298941184207334,0.48185399478959146,-7.890060728615902e-05,0.00016787994517802245,0.9333710072374787,-1.4597086008390394,-8.301207849152929,56.77944268265132,1.5046956868134274,0.0001779851586701753,1.0105213492152856e-05,0.9333710072374787,-0.19638747148688243,-1.1168347016967202,1.027747309723767,0.02723603598433985,0.00017798515867017503,1.0105213492152585e-05,0.9333710072374787,-0.4762719216646174,-2.7085078571030725,6.044616451868648,0.16018664280315753,0.00017798515867017503,1.0105213492152585e-05
3.66,0.4829887991334929,0.4818558449160408,-4.314807713881377e-05,0.0002026304288328761,0.9334047111869443,-1.4459123957803792,-8.313461603459778,56.65229022013507,1.8044952716541243,0.0002134473967457872,1.0816967912911089e-05,0.9334047111869443,-0.1945313463492848,-1.1184833073315437,1.025445761925804,0.032662616489866264,0.00021344739674578712,1.0816967912911007e-05,0.9334047111869443,-0.471770512896326,-2.7125059969427463,6.031080076192735,0.19210265707120855,0.00021344739674578728,1.081696791291117e-05
3.6700000000000004,0.4829885382188605,0.48185803664661314,-8.470143109234825e-06,0.00023626460778277287,0.9334379649579689,-1.4320142932094344,-8.325563881256734,56.52349280863092,2.0946391666226045,0.0002477674972390046,1.1502889456231743e-05,0.9334379649579689,-0.1926615120407082,-1.1201115334955944,1.0231144394097902,0.03791442230897729,0.00024776749723900434,1.1502889456231472e-05,0.9334379649579689,-0.46723585713342164,-2.7164547132136256,6.017368582811453,0.22299074751510406,0.0002477674972390045,1.1502889456231635e-05
3.68,0.4829886179181375,0.4818605584348323,2.4728412934953515e-05,0.0002683961488741161,0.9334707787478759,-1.4180216342178371,-8.337519053422104,56.39312616902488,2.3717905942244126,0.0002805507644801301,1.2154615606013979e-05,0.9334707787478759,-0.19077895622295218,-1.1217199682416787,1.0207547127763024,0.04293105545375617,0.00028055076448013,1.215461560601387e-05,0.9334707787478759,-0.4626703496182264,-2.7203554320404923,6.003490032806271,0.25249568803211697,0.00028055076448013,1.215461560601387e-05
3.6900000000000004,0.48298902451344333,0.48186339648295345,5.7196389144095954e-05,0.0002998048178189833,0.9335031600420927,-1.4039370505843909,-8.349331461246178,56.26128116813041,2.642697232849631,0.0003125953576048873,1.2790539785904008e-05,0.9335031600420927,-0.18888403297242937,-1.1233091956418655,1.0183682267777139,0.04783465358502928,0.00031259535760488726,1.2790539785903954e-05,0.9335031600420927,-0.4580748490442819,-2.7242095698941875,5.989454099661284,0.2813358218443984,0.00031259535760488715,1.2790539785903846e-05
3.7,0.4829897540024232,0.481866546847118,8.858375781333291e-05,0.000330113587625823,0.9335351225263807,-1.3897610509447282,-8.361005656457337,56.12795987217047,2.904093698685875,0.0003435150258510392,1.3401438225216222e-05,0.9335351225263807,-0.1869768107203771,-1.1248798280803165,1.0159550188140931,0.05256611099006267,0.00034351502585103916,1.3401438225216168e-05,0.9335351225263807,-0.453449521368595,-2.7280186119070318,5.975261003342109,0.3091635232659353,0.00034351502585103927,1.3401438225216277e-05
3.71,0.4829907962088959,0.4818699993073681,0.00012000048095356973,0.0003604952068796494,0.9335666757372905,-1.3754961931096807,-8.372545893110068,55.99322271289157,3.166129590405946,0.00037451032953523237,1.401512265558299e-05,0.9335666757372905,-0.18505763359164432,-1.126432437892499,1.0135161827419839,0.05730914244726748,0.0003745103295352324,1.4015122655583045e-05,0.9335666757372905,-0.44879520115052857,-2.731783946086676,5.960917177281553,0.33705929658170897,0.0003745103295352322,1.4015122655582828e-05
3.72,0.4829921419605555,0.48187374452989945,0.00014977104879975977,0.0003891651688832304,0.9335978294762179,-1.3611472176901163,-8.38395609464648,55.85712683147928,3.4133561132773043,0.00040375388508361113,1.4588716200380743e-05,0.9335978294762179,-0.1831271393824193,-1.1279675529336817,1.0110527528564928,0.06178411405263401,0.00040375388508361135,1.458871620038096e-05,0.9335978294762179,-0.4441134351507488,-2.7355068525689727,5.946428704606429,0.36337849657525,0.00040375388508361113,1.4588716200380743e-05
3.73,0.4829937874262156,0.48187777658879477,0.00017957778900065284,0.0004175887751626844,0.933628593424579,-1.346714160454742,-8.395240104176251,55.71969642186416,3.658460927090996,0.000432746471132582,1.5157695969897616e-05,0.933628593424579,-0.1811853329049817,-1.1294856902513026,1.0085651670845506,0.0662206812518808,0.00043274647113258197,1.5157695969897562e-05,0.933628593424579,-0.4394042350398253,-2.7391885852790065,5.931798160950171,0.3894718240193238,0.00043274647113258197,1.5157695969897562e-05
3.74,0.4829957276614813,0.4818820911854205,0.00020857466460774603,0.00044487898639838176,0.9336589801247714,-1.3322002625743792,-8.406401790434561,55.580944037944555,3.8937679344949316,0.0004605801091339559,1.5701122735574163e-05,0.9336589801247714,-0.17923265022262655,-1.130987370340424,1.0060536526604278,0.0704799013567734,0.00046058010913395587,1.570112273557411e-05,0.9336589801247714,-0.43466865834297563,-2.7428304065029185,5.917026882773594,0.4145220982205604,0.00046058010913395603,1.5701122735574272e-05
