psi_deg,D1<0<D2_on_window,D1_at_cross,D2_at_cross,S,dD1,dD2,final_excess,n_sign_changes,opposite_signs_at_cross,rise,strong_share_of_swing,t_cross,t_min,t_rev
-77.3,True,-0.0021028428574822863,0.0021028428574822863,0.014912453416640548,0.0007830742964503147,0.0003299746046403905,0.015021310238290397,1,True,0.015021310238290397,0.7035398855189202,4.099037054198682,4.1,4.1
-77.2,True,-0.0021075497168809606,0.002107549716880961,0.014837731612640404,0.0007765290939712576,0.0003267867958271751,0.014946140442669398,1,True,0.014946140442669398,0.7038139313964956,4.105271526209764,4.11,4.11
-77.1,True,-0.002112193627267769,0.002112193627267768,0.014763043957171651,0.0007700037800184771,0.00032343303315918366,0.014871022523438138,1,True,0.014871022523438138,0.7042050996808423,4.111514502429921,4.11,4.11
-77.0,True,-0.002116734058370983,0.0021167340583709824,0.014688362205044325,0.0007634852433330527,0.0003201998670684825,0.014795892622483653,1,True,0.014795892622483653,0.7045268371825837,4.117837088255134,4.12,4.12
-76.9,True,-0.0021213438334800774,0.002121343833480077,0.014613664853509456,0.0007571455043229795,0.0003169505445679592,0.014720764023775978,1,True,0.014720764023775978,0.7049141509316346,4.124124131240675,4.12,4.13
-76.8,True,-0.0021257834726584623,0.002125783472658463,0.014539027279020234,0.0007507028162633564,0.00031373511729024316,0.014645677572519833,1,True,0.014645677572519833,0.7052574815303263,4.130486731297103,4.13,4.13
-76.7,True,-0.0021302504875114203,0.00213025048751142,0.014464377402930495,0.000744439122859018,0.00031051979234315917,0.014570578504507603,1,True,0.014570578504507603,0.7056569806951679,4.136872886902401,4.14,4.14
-76.6,True,-0.0021346241261063705,0.0021346241261063705,0.01438973448208003,0.0007381670444384922,0.00030731880637369395,0.014495503869464077,1,True,0.014495503869464077,0.7060516829233479,4.143300878840939,4.14,4.14
-76.5,True,-0.0021389049477631037,0.002138904947763103,0.014315137352546359,0.0007319081049919384,0.00030394826763965703,0.014420457356003391,1,True,0.014420457356003391,0.7065729615897658,4.14976813173228,4.15,4.15
-76.4,True,-0.002143217892632655,0.0021432178926326546,0.014240533576502845,0.0007258145830881585,0.0003007789190437168,0.014345404065386702,1,True,0.014345404065386702,0.7070126409147298,4.156259593210307,4.16,4.16
