t,A2,E,dE,core_mass,angle_u,angle_w,S,weak_fit,f1,f2,m,z,l,log_u_A,direction_error,c_error,B_movement,D_movement,loss,balance_error,strong_boundary,weak_boundary,J_D_observed,J_B_observed,J_p_observed,Gamma_core_observed,norm_factor_observed,min_core_a
2.460170000000002,0.10583439211305867,0.49008243144228791,3.2881792739545475e-05,0.08660837809762939,0.29835037641363588,0.29835025328654097,0.13582513770350288,0.0099926883785349894,0.0071783284098017762,0.0099929754107294568,0.10583439208510328,7.6550169560123651e-07,3.7843566096660354e-08,1.308805286456433e-10,3.491453681546444e-07,9.75928454216145e-09,1.2151935952899353e-09,3.9695543962747994e-08,0.19988303603552685,5.0505141497101133e-22,0,472,4.0047900716387091e-07,1.2177993166972956e-08,1.2315371738515559e-07,6.8019352150727741e-08,0.99999999987086996,0.00014542120102966228
2.480170000000002,0.10774203655312398,0.49008309564271879,3.3539658653458765e-05,0.088169477354972256,0.29585007642507083,0.29584995190458607,0.13773278214476073,0.0099926883545001857,0.0072712823707989701,0.0099929791033185646,0.10774203652451055,7.646451899675547e-07,3.7931529862358861e-08,1.3155521117779654e-10,3.375038997204937e-07,9.9579722931332511e-09,1.2250313182203868e-09,4.0509338810048475e-08,0.19903107078747342,5.0748421255680715e-22,0,478,4.086453798868568e-07,1.2276995927948171e-08,1.2454758939498491e-07,6.8446863399351798e-08,0.99999999987019927,0.00014672594230276354
2.500170000000002,0.10967984820311046,0.49008377308490125,3.4205964512757892e-05,0.089755263607456254,0.29337356658075026,0.29337344065740484,0.13967059379603769,0.0099926883300265577,0.0073648678876364034,0.0099929828207064014,0.10967984817383207,7.6377500399503751e-07,3.8018527645128307e-08,1.3228584895039873e-10,4.5734671512910148e-07,1.015926141995029e-08,1.2348676686130872e-09,4.1336904722595248e-08,0.19816749562810337,5.0991693401204197e-22,0,481,4.1694940665818843e-07,1.2375998688923387e-08,1.2595093783913685e-07,6.8873447167661084e-08,0.99999999986954125,0.00014803954352936682
2.520170000000002,0.1116481515446425,0.49008446393741556,3.4880687632835992e-05,0.09136600239093394,0.29092073624441739,0.2909206089086781,0.14163889713880043,0.0099926883051076922,0.0074590837761837839,0.0099929865628404953,0.11164815151469791,7.6289095364819634e-07,3.810459238503468e-08,1.3293632862061286e-10,5.2493557196284937e-07,1.0363163545856816e-08,1.2447026210361936e-09,4.2178424819859626e-08,0.19729225411801896,5.1018587435788744e-22,0,484,4.2539291744862784e-07,1.2475001449898603e-08,1.2736382513455383e-07,6.9299113447662819e-08,0.99999999986889543,0.00014936198799065723
2.540170000000002,0.11364726896275773,0.49008516836833366,3.5563799665057328e-05,0.09300195752557143,0.28849147321494772,0.28849134445721986,0.14363801455811437,0.0099926882797396945,0.0075539286841006144,0.0099929903296601067,0.11364726893212346,7.6199285426236008e-07,3.8189756550215028e-08,1.3355816453678829e-10,3.0355973225032331e-07,1.0569689853965518e-08,1.2545361496418805e-09,4.3034082874078471e-08,0.1964052934091218,5.1279327806315964e-22,0,485,4.3397774876184775e-07,1.2574004210873819e-08,1.2878631273784049e-07,6.9723870899096596e-08,0.99999999986826205,0.00015069325660586533
2.5601700000000021,0.1156775204970584,0.49008588654510127,3.6255266434382035e-05,0.094663390912132481,0.28608566379195688,0.28608553360258526,0.14566826609357428,0.0099926882539158688,0.0076494010872472634,0.0099929941210986292,0.11567752046571905,7.6108052063073765e-07,3.8274052146979565e-08,1.3423462342578297e-10,4.7730259233853117e-07,1.0778851070216802e-08,1.2643682283756923e-09,4.3904063241058785e-08,0.19550656439371131,5.1797303312426783e-22,0,488,4.4270574293707894e-07,1.2673006971849035e-08,1.3021846111218569e-07,7.014772829272431e-08,0.99999999986764165,0.00015203332788254892
2.5801700000000021,0.11773922358591668,0.49008661863442265,3.6955047779673773e-05,0.096350562322751618,0.28370319283990791,0.28370306120917799,0.14772996918395431,0.0099926882276289587,0.0077454992861021978,0.0099929979370812477,0.11773922355387538,7.6015376705431911e-07,3.8357510729888298e-08,1.3486922690674409e-10,3.8857474358097608e-07,1.0990657447653889e-08,1.274198830877158e-09,4.4788550788133426e-08,0.19459602185517266,5.1901680933281744e-22,0,491,4.5157874743582771e-07,1.277200973282425e-08,1.3166032969377126e-07,7.0570694732374761e-08,0.99999999986703414,0.00015338217786698522
2.6001700000000021,0.11983269280375287,0.49008736480213638,3.7663097378400524e-05,0.098063729185816462,0.28134394385072231,0.28134381076886128,0.14982343840335025,0.0099926882008737235,0.0078422214023236812,0.0099930017775263676,0.11983269277098302,7.5921240744052572e-07,3.844016341049294e-08,1.3550471856612546e-10,1.9371509552001953e-07,1.1205118747841438e-08,1.2840279305227232e-09,4.5687730819357183e-08,0.19367362462008469,5.2254205158923278e-22,0,497,4.6059861409122702e-07,1.2871012493799466e-08,1.3311197685758224e-07,7.0992777101430704e-08,0.9999999998664395,0.00015473978009472643
2.6201700000000021,0.12195823959142046,0.49008812521309075,3.8379362523124794e-05,0.099803146365465792,0.27900779900490114,0.27900766446207909,0.1519489851923794,0.0099926881736452523,0.0079395653751868217,0.0099930056423462258,0.12195823955792416,7.5825625535359426e-07,3.8522040867230288e-08,1.3608980610018235e-10,0,1.1422244224371518e-08,1.2938555004108597e-09,4.6601788997664212e-08,0.19273933571149315,5.2606721805585485e-22,0,500,4.6976719833087685e-07,1.2970015683343221e-08,1.3457345988273265e-07,7.141398405963173e-08,0.99999999986585864,0.00015610610554137502
2.6401700000000021,0.12411617197974249,0.49008890003101435,3.9103784024064192e-05,0.10156906593520085,0.27669463923116222,0.27669450321749278,0.15410691758196771,0.0099926881459361794,0.0080375289581112556,0.0099930095314458359,0.12411617194549017,7.5728512412968082e-07,3.8603173353927328e-08,1.3672107891207034e-10,0,1.1642042605704588e-08,1.303681513313624e-09,4.7530911264263445e-08,0.19179312250334277,5.2876512812013044e-22,0,502,4.7908635836970739e-07,1.3069018872886974e-08,1.3604483491724433e-07,7.1834323156494406e-08,0.99999999986529076,0.00015748112257363742
2.6601700000000021,0.12630679430625857,0.49008968941838865,3.9836295954083617e-05,0.10336173694623653,0.27440434426460086,0.27440420677014277,0.1562975399096648,0.0099926881177416389,0.0081361097152353786,0.0099930134447195462,0.12630679427125099,7.5629882691281431e-07,3.8683590708571435e-08,1.3728251869570019e-10,2.2891598188485527e-07,1.1864522077108985e-08,1.3135059417837071e-09,4.8475283754939406e-08,0.19083495687568036,5.2980860116950662e-22,0,504,4.8855795437397766e-07,1.3168022062430728e-08,1.3752615694234027e-07,7.2253801719490696e-08,0.99999999986473675,0.00015886479690071592
2.6801700000000022,0.12853040692525503,0.49009049353630429,4.0576825491002681e-05,0.10518140519009364,0.27213679270338559,0.27213665371814405,0.15852115252998403,0.0099926880890573201,0.0082353050179114554,0.0099930173820575764,0.12853040688948955,7.5529717679497093e-07,3.8763322361745409e-08,1.3783318931599003e-10,3.8136493838041207e-07,1.2089690262986444e-08,1.323328758115871e-09,4.9435092713536857e-08,0.18986481537063515,5.3167917904164257e-22,0,509,4.9818384759690582e-07,1.3267025251974483e-08,1.3901747973617145e-07,7.2672426298936443e-08,0.99999999986419641,0.00016025709152610163
2.7001700000000022,0.13078730591116622,0.49009131254432786,4.1325292810634892e-05,0.10702831295594227,0.26989186206399784,0.26989172157792551,0.16077805151706376,0.0099926880598746118,0.0083351120412862786,0.0099930213433396739,0.13078730587463061,7.5427998685881502e-07,3.8842397344877646e-08,1.3836964908156299e-10,0,1.2317554208997758e-08,1.33314993432064e-09,5.0410524402282987e-08,0.18888267934880648,5.3437686173653809e-22,0,515,5.0796589948145799e-07,1.3366028441518238e-08,1.4051885583715746e-07,7.3090203445147495e-08,0.99999999986367005,0.00016165796669983271
2.7201700000000022,0.13307778275544882,0.49009214660035672,4.2081610806828706e-05,0.1089026987825002,0.26766942883502753,0.26766928683802588,0.16306852836247809,0.0099926880301883236,0.0084355277609991387,0.0099930253284379999,0.13307778271811485,7.5324707030044387e-07,3.8920844297889164e-08,1.3895873341851078e-10,0,1.2548120363934799e-08,1.3429694421146442e-09,5.1401765009231918e-08,0.18788853514592183,5.3790164925419328e-22,0,519,5.1790597073713752e-07,1.3465031631061992e-08,1.4203033650677575e-07,7.3507139708439695e-08,0.9999999998631578,0.00016306737987128485
2.7401700000000022,0.13540212405704916,0.49009299586046962,4.2845685018105961e-05,0.11080479720481001,0.26546936852953729,0.26546922501145781,0.16539286966515088,0.0099926879999927172,0.0085365489497967479,0.0099930293372203806,0.13540212401890572,7.5219824051590113e-07,3.8998691477143448e-08,1.3946344080557563e-10,2.4211521162497881e-07,1.278139456278647e-08,1.3527872529871434e-09,5.2409000552627532e-08,0.18688237422949305,5.4225354159460815e-22,0,524,5.2800592037951083e-07,1.3564034820605745e-08,1.4355197169191362e-07,7.3923241417084284e-08,0.99999999986265975,0.00016448528564256287
