cell_id,mu2,sigma,time_label,time_requested,time_actual,variant,phi2_deg,p,eta_actual,eta_pred,eta_error,eta_abs_error,eta_ratio_pred_over_actual,actual_eta_gm,pred_eta_gm,gram_cond,normal_eq_relative_residual,matrix_relative_frob_error,actual_M_11,actual_M_12,actual_M_21,actual_M_22,pred_M_11,pred_M_12,pred_M_21,pred_M_22,actual_m_pp,pred_m_pp,actual_m_pq,pred_m_pq,actual_m_qp,pred_m_qp,actual_m_qq,pred_m_qq
mu2_1p800__sigma_0p120,1.8,0.12,t_block,4.0,4.0,measured_root,87.67955373763434,1,0.08171595851443217,0.05945531208323391,-0.02226064643119826,0.02226064643119826,0.7275850784119883,0.0381068147718355,0.056079679760789126,27.399474057893705,3.748467085964003e-18,0.09486195124581089,0.9480155617463343,-0.01794755511707937,-0.07271615973609506,0.006330371899912007,1.0014618132659319,0.05297302583766842,-0.0595422246471673,-0.002533732212500427,0.9480155617463343,1.0014618132659319,-0.01794755511707937,0.05297302583766842,-0.07271615973609506,-0.0595422246471673,0.006330371899912007,-0.002533732212500427
mu2_1p800__sigma_0p120,1.8,0.12,t_block,4.0,4.0,measured_root,87.67955373763434,2,0.05234036894398997,0.05934122630385605,0.007000857359866081,0.007000857359866081,1.13375636246198,0.04017512372372046,0.056066104692854134,27.399474057893705,3.748467085964003e-18,0.12234972748225381,0.002336492836605588,-0.04698837028120268,0.02768415479924909,0.8977462564600085,-0.0011089747388391244,-0.05312271306452915,0.059510351240406455,1.0028500411448258,0.8977462564600085,1.0028500411448258,0.02768415479924909,0.059510351240406455,-0.04698837028120268,-0.05312271306452915,0.002336492836605588,-0.0011089747388391244
mu2_1p800__sigma_0p120,1.8,0.12,t_block,4.0,4.0,measured_cohort,88.22063603758781,1,0.08171595851443217,0.052890797889052876,-0.028825160625379292,0.028825160625379292,0.6472517590271137,0.0381068147718355,0.052822650285658274,25.17678549391966,7.651856293785573e-17,0.09611248021191801,0.9480155617463343,-0.01794755511707937,-0.07271615973609506,0.006330371899912007,1.0015224241560656,0.05297132011739276,-0.052834905350531036,-0.0018307568564773524,0.9480155617463343,1.0015224241560656,-0.01794755511707937,0.05297132011739276,-0.07271615973609506,-0.052834905350531036,0.006330371899912007,-0.0018307568564773524
mu2_1p800__sigma_0p120,1.8,0.12,t_block,4.0,4.0,measured_cohort,88.22063603758781,2,0.05234036894398997,0.05300311888145458,0.0006627499374646101,0.0006627499374646101,1.0126623092430591,0.04017512372372046,0.052837958536509244,25.17678549391966,7.651856293785573e-17,0.1198325921679899,0.002336492836605588,-0.04698837028120268,0.02768415479924909,0.8977462564600085,-0.001143701472711158,-0.05312609984483336,0.052795528567325965,1.0023202589955855,0.8977462564600085,1.0023202589955855,0.02768415479924909,0.052795528567325965,-0.04698837028120268,-0.05312609984483336,0.002336492836605588,-0.001143701472711158
mu2_1p800__sigma_0p120,1.8,0.12,t_10,10.0,10.0,ideal,90.0,1,0.10585629367178524,0.05279123303805644,-0.0530650606337288,0.0530650606337288,0.4987066069188036,0.0681116713360685,0.041013580659809534,19.30355201012452,1.6552573356771574e-16,0.08728225119009024,0.9550175119259371,0.04185407281974081,-0.10109461420412966,-0.0009124289133542061,1.0011114774071523,0.05284990930087395,-0.0318989220957972,0.0015042567704883667,0.9550175119259371,1.0011114774071523,0.04185407281974081,0.05284990930087395,-0.10109461420412966,-0.0318989220957972,-0.0009124289133542061,0.0015042567704883667
mu2_1p800__sigma_0p120,1.8,0.12,t_10,10.0,10.0,ideal,90.0,2,0.09447634424570432,0.05306269880826246,-0.04141364543744186,0.04141364543744186,0.5616506357428741,0.07649599750380531,0.041055359186495465,19.30355201012452,1.6552573356771574e-16,0.06414619391871443,-0.0032522791617505898,-0.09064601494257282,0.05942647644022212,0.9594572659038333,-0.0005217554060401201,-0.05306791159681523,0.03176823155622653,1.0000982382854593,0.9594572659038333,1.0000982382854593,0.05942647644022212,0.03176823155622653,-0.09064601494257282,-0.05306791159681523,-0.0032522791617505898,-0.0005217554060401201
mu2_1p800__sigma_0p120,1.8,0.12,t_10,10.0,10.0,measured_root,85.23562154767961,1,0.10585629367178524,0.0989725377647991,-0.006883755906986144,0.006883755906986144,0.934970745071335,0.0681116713360685,0.07230503103350822,228.58895605982428,1.3680423088423459e-16,0.037068965022443195,0.9550175119259371,0.04185407281974081,-0.10109461420412966,-0.0009124289133542061,0.988689818079172,0.05222547385705633,-0.0978531403575132,-0.005133975711556872,0.9550175119259371,0.988689818079172,0.04185407281974081,0.05222547385705633,-0.10109461420412966,-0.0978531403575132,-0.0009124289133542061,-0.005133975711556872
mu2_1p800__sigma_0p120,1.8,0.12,t_10,10.0,10.0,measured_root,85.23562154767961,2,0.09447634424570432,0.10744223908706944,0.012965894841365122,0.012965894841365122,1.1372395909778723,0.07649599750380531,0.07122801510476813,228.58895605982428,1.3680423088423459e-16,0.07502155625006371,-0.0032522791617505898,-0.09064601494257282,0.05942647644022212,0.9594572659038333,0.011603501201975576,-0.05240048754901458,0.09782373891531977,1.00516868642667,0.9594572659038333,1.00516868642667,0.05942647644022212,0.09782373891531977,-0.09064601494257282,-0.05240048754901458,-0.0032522791617505898,0.011603501201975576
mu2_1p800__sigma_0p120,1.8,0.12,t_10,10.0,10.0,measured_cohort,86.45301550548034,1,0.10585629367178524,0.08015844210115737,-0.025697851570627872,0.025697851570627872,0.7572383211308547,0.0681116713360685,0.0651001835849459,68.54438236441712,1.4199416974480971e-16,0.05230805800071192,0.9550175119259371,0.04185407281974081,-0.10109461420412966,-0.0009124289133542061,0.9992539466787342,0.05283126758103123,-0.08009863962920032,-0.00408736007419414,0.9550175119259371,0.9992539466787342,0.04185407281974081,0.05283126758103123,-0.10109461420412966,-0.08009863962920032,-0.0009124289133542061,-0.00408736007419414
mu2_1p800__sigma_0p120,1.8,0.12,t_10,10.0,10.0,measured_cohort,86.45301550548034,2,0.09447634424570432,0.0797392097696454,-0.014737134476058927,0.014737134476058927,0.8440124393707263,0.07649599750380531,0.06486588546873909,68.54438236441712,1.4199416974480971e-16,0.06436558517218899,-0.0032522791617505898,-0.09064601494257282,0.05942647644022212,0.9594572659038333,0.0010552471830475975,-0.05298701787196758,0.08007199164829928,1.004173378186406,0.9594572659038333,1.004173378186406,0.05942647644022212,0.08007199164829928,-0.09064601494257282,-0.05298701787196758,-0.0032522791617505898,0.0010552471830475975
mu2_1p800__sigma_0p150,1.8,0.15,t_W,3.52,3.52,ideal,90.0,1,0.07676693375512288,0.06555384459421074,-0.01121308916091214,0.01121308916091214,0.8539333458767479,0.032540322656797814,0.051014981305184906,19.44926097332895,8.32632006724198e-17,0.10683946391715363,0.9452762415072523,-0.01611203857585186,-0.05872333363300724,0.00557066613765044,1.0017128374649247,0.06566612767520155,-0.03976862137853094,0.002378765506460709,0.9452762415072523,1.0017128374649247,-0.01611203857585186,0.06566612767520155,-0.05872333363300724,-0.03976862137853094,0.00557066613765044,0.002378765506460709
mu2_1p800__sigma_0p150,1.8,0.15,t_W,3.52,3.52,ideal,90.0,2,0.06320856132008165,0.06608339114154951,0.0028748298214678614,0.0028748298214678614,1.045481652507641,0.03783025467206017,0.05109617709159352,19.44926097332895,8.32632006724198e-17,0.3408436888940546,0.0029876672703955495,-0.03013088714166107,0.026559961914740467,0.7477913176396654,-0.0007768115634894146,-0.06609227783014465,0.039513262910965456,1.0001344768850633,0.7477913176396654,1.0001344768850633,0.026559961914740467,0.039513262910965456,-0.03013088714166107,-0.06609227783014465,0.0029876672703955495,-0.0007768115634894146
mu2_1p800__sigma_0p150,1.8,0.15,t_W,3.52,3.52,measured_root,88.84036857985939,1,0.07676693375512288,0.06567315244600858,-0.0110937813091143,0.0110937813091143,0.8554875026726728,0.032540322656797814,0.05747870346770051,21.88677205973374,1.579229784857501e-16,0.10580367347298275,0.9452762415072523,-0.01611203857585186,-0.05872333363300724,0.00557066613765044,1.0021143613205523,0.06581200921933915,-0.050413093612947414,-0.0002099034978221115,0.9452762415072523,1.0021143613205523,-0.01611203857585186,0.06581200921933915,-0.05872333363300724,-0.050413093612947414,0.00557066613765044,-0.0002099034978221115
mu2_1p800__sigma_0p150,1.8,0.15,t_W,3.52,3.52,measured_root,88.84036857985939,2,0.06320856132008165,0.06604883454449444,0.0028402732244127843,0.0028402732244127843,1.0449349449678174,0.03783025467206017,0.057570136498850046,21.88677205973374,1.579229784857501e-16,0.34406370013318366,0.0029876672703955495,-0.03013088714166107,0.026559961914740467,0.7477913176396654,-0.0013679764021137632,-0.06616629484048234,0.050269089219197406,1.001778385596021,0.7477913176396654,1.001778385596021,0.026559961914740467,0.050269089219197406,-0.03013088714166107,-0.06616629484048234,0.0029876672703955495,-0.0013679764021137632
