cell_id,mu2,sigma,time,phi_root_deg,phi_cohort_deg,eta1_actual,eta2_actual,eta1_ideal,eta2_ideal,eta1_root_fixed,eta2_root_fixed,eta1_cohort_fixed,eta2_cohort_fixed
mu2_1p800__sigma_0p150,1.8,0.15,4.2700000000000005,86.0862747077875,87.86229563286454,0.08231217493087063,0.06092817011803778,0.06555384459421074,0.06608339114154951,0.09005533904124217,0.08956750980870189,0.06574244272075015,0.06598126878442342
mu2_1p800__sigma_0p150,1.8,0.15,4.5200000000000005,85.48024962233778,87.70579507050309,0.08560234852253636,0.06463490948225702,0.06555384459421074,0.06608339114154951,0.10049792183948468,0.09965980509206104,0.06899030092853613,0.0688097968504619
mu2_1p800__sigma_0p150,1.8,0.15,4.7700000000000005,85.01942552565757,87.54317820124191,0.08825866855500274,0.06761352453164757,0.06555384459421074,0.06608339114154951,0.10827048658633201,0.10696981805620535,0.07368736159345884,0.0734684813229416
mu2_1p800__sigma_0p150,1.8,0.15,5.0200000000000005,84.86646269606719,87.38632511891049,0.09055143577259313,0.0701480998814859,0.06555384459421074,0.06608339114154951,0.11142477589552133,0.10987781004498047,0.07402782101925426,0.07380574917022642
mu2_1p800__sigma_0p150,1.8,0.15,5.2700000000000005,84.75087169264872,87.24011711696818,0.09260307550983546,0.07241735764833317,0.06555384459421074,0.06608339114154951,0.112680498971575,0.11102315629682492,0.07408245793127757,0.07385984092811264
mu2_1p800__sigma_0p150,1.8,0.15,5.5200000000000005,84.69572807692555,87.10496890329476,0.0944795528616239,0.0745293137477402,0.06555384459421074,0.06608339114154951,0.11362715220280326,0.11187991997481088,0.07474534159275019,0.07451556650887475
mu2_1p800__sigma_0p150,1.8,0.15,5.7700000000000005,84.62461058424923,86.9810815280248,0.09621019367088006,0.07654594022219396,0.06555384459421074,0.06608339114154951,0.11397636667250814,0.1121940706217655,0.07603782207697807,0.07579297784736255
mu2_1p800__sigma_0p150,1.8,0.15,6.0200000000000005,84.52751274489319,86.86714521675935,0.09781503662084352,0.0785016083575876,0.06555384459421074,0.06608339114154951,0.11499621644548488,0.11310604208642136,0.0799275132401554,0.07963102299754106
mu2_1p800__sigma_0p150,1.8,0.15,6.2700000000000005,84.49462535475593,86.76198905166315,0.09931156322036587,0.08041375237004239,0.06555384459421074,0.06608339114154951,0.11524047958224821,0.11332288417598964,0.0831032917774212,0.0827582274024641
mu2_1p800__sigma_0p150,1.8,0.15,6.5200000000000005,84.46796330641553,86.66477657329956,0.10071254911088733,0.0822900487776239,0.06555384459421074,0.06608339114154951,0.11607625946432755,0.11406143896575381,0.08544882397300513,0.08506388443574098
mu2_1p800__sigma_0p150,1.8,0.15,6.7700000000000005,84.3921740608095,86.57449839327522,0.10202722116205801,0.08413429503934713,0.06555384459421074,0.06608339114154951,0.11732918317399213,0.11515664762331787,0.08613103857992105,0.0857336739993863
mu2_1p800__sigma_0p150,1.8,0.15,7.0200000000000005,84.36421660231285,86.49029437584177,0.1032656514621398,0.08594685739926809,0.06555384459421074,0.06608339114154951,0.11732964489860002,0.11515705008620303,0.08675278952693716,0.08634353803875697
mu2_1p800__sigma_0p150,1.8,0.15,7.2700000000000005,84.33067540358181,86.41154068393084,0.10443446471952039,0.08772664558290376,0.06555384459421074,0.06608339114154951,0.11732964489860002,0.11515705008620303,0.08692398539607939,0.08651128029819627
mu2_1p800__sigma_0p150,1.8,0.15,7.5200000000000005,84.29370329664765,86.33764439859146,0.10554027186749883,0.08947195791596203,0.06555384459421074,0.06608339114154951,0.11880856537978751,0.11643243253302733,0.08707089891516888,0.08665512648644338
mu2_1p800__sigma_0p150,1.8,0.15,7.7700000000000005,84.2653104133463,86.26809799326406,0.10658900958225596,0.09118101559309932,0.06555384459421074,0.06608339114154951,0.11880856545560807,0.11643243259817117,0.08762945384793389,0.08720140269184465
