t,tau,ell_loc,hgate_max,hgate_min,R_opnorm_max,min_input_radius,q01_input_radius,density_edge_lo,density_edge_hi,S
10.5,94.5,0.013809109293835298,0.013744824072943453,-0.014372782762601493,0.0015614586488859063,0.014142135623730945,0.014142135623730945,7.03612132763719e-06,8.237187344204955,2.0465844927495933
10.75,96.75,0.01338773904693627,0.013327203608967376,-0.013937825596672143,0.0015103293363649367,0.014142135623730945,0.014142135623730945,7.036252215728828e-06,8.452567514615545,2.0474080871623292
11.0,99.0,0.012988702136773651,0.012929749181416867,-0.013524616461520474,0.0014618722754071642,0.014142135623730945,0.014142135623730945,8.444223487905988e-06,8.691366770687344,2.048214738376996
11.25,101.25,0.012609143644695339,0.012551840586199563,-0.013131793617842861,0.0014159643704029395,0.014142135623730945,0.014142135623730945,7.037368129907063e-06,8.924013312417978,2.049004906952633
11.5,103.5,0.01224830970347031,0.012193586151989696,-0.012758083311245578,0.0013724765626992432,0.014142135623730945,0.014142135623730945,8.445421213269211e-06,9.179309814405972,2.04977905775303
11.75,105.75,0.011905336059284835,0.011853417894318723,-0.012402298928235394,0.001331258700564218,0.014142135623730945,0.014142135623730945,7.038248274923088e-06,9.51521529422495,2.0505376555016754
12.0,108.0,0.011579460282647157,0.01152951189817192,-0.01206332848228698,0.0012921127399964385,0.014142135623730945,0.014142135623730945,8.446338525599243e-06,9.843638240837434,2.0512811612982507
12.25,110.25,0.011269128007494442,0.011220909228788769,-0.011740139810893445,0.0012549600319025022,0.014142135623730945,0.014142135623730945,7.038897973917338e-06,10.222766566949796,2.0520100299189665
12.5,112.5,0.010973852126156175,0.010926614707850007,-0.011431771395118352,0.0012196312413117016,0.014142135623730945,0.014142135623730945,7.039724973591928e-06,10.65153301715667,2.0527247077540944
12.75,114.75,0.010692392370234111,0.010645790742197826,-0.011137328219134369,0.0011859891350789655,0.014142135623730945,0.014142135623730945,7.039325995448158e-06,11.069665365757192,2.05342563126166
13.0,117.0,0.010423688653592486,0.010378909159122674,-0.01085597754547417,0.0011539033898511815,0.014142135623730945,0.014142135623730945,7.040055233150257e-06,11.47574429224433,2.0541132258392305
13.25,119.25,0.01016669148778105,0.010123721148208628,-0.010586944731210635,0.0011233458591812938,0.014142135623730945,0.014142135623730945,7.0407481238534394e-06,11.897283863970701,2.054787905031475
13.5,121.5,0.009920372487898097,0.009879190814206403,-0.010329509171572975,0.0010942214613993467,0.014142135623730945,0.014142135623730945,7.040178565698908e-06,12.216377477275138,2.055450070008494
13.75,123.75,0.009685571358068456,0.009644448816388382,-0.010083000412386103,0.0010663256236570673,0.014142135623730945,0.014142135623730945,7.0407776650634895e-06,12.519180812323501,2.0561001092583715
14.0,126.0,0.009461074234189222,0.00942175969162724,-0.0098467944713177,0.0010397904885895693,0.014142135623730945,0.014142135623730945,7.041340957390017e-06,12.718908241156369,2.056738398453429
14.25,128.25,0.009244622847616728,0.009207077120047723,-0.009620310384565001,0.0010143039863675625,0.014142135623730945,0.014142135623730945,7.041868463076151e-06,12.872742537665495,2.0573653004497148
14.5,130.5,0.009038865606615877,0.009001490285782341,-0.00940300696926873,0.0009900166622334662,0.014142135623730945,0.014142135623730945,7.042360305332174e-06,12.897033819865833,2.0579811653933233
14.75,132.75,0.008840150926937204,0.008804533464546342,-0.009194379817329321,0.0009666928012765508,0.014142135623730945,0.014142135623730945,7.042816701290075e-06,12.878857065889306,2.058586330908545
15.0,135.0,0.00865033199683684,0.008614939836494855,-0.008993958499314784,0.0009443475436150211,0.014142135623730945,0.014142135623730945,7.043237953244585e-06,12.789980569414704,2.059181122348334
15.25,137.25,0.00846690582502285,0.00843324385695808,-0.008801303976467513,0.0009229553906985219,0.014142135623730945,0.014142135623730945,7.0436244401529025e-06,12.636682329021177,2.0597658530915917
15.5,139.5,0.008291906292990616,0.008258514728021278,-0.008616006201932412,0.0009023889686473357,0.014142135623730945,0.014142135623730945,7.043976609480232e-06,12.474633641813801,2.060340824874334
15.75,141.75,0.00812206035762325,0.008089694834591854,-0.008437681906529272,0.0008826152004380414,0.014142135623730945,0.014142135623730945,7.044294969466038e-06,12.250243207579949,2.060906328144915
16.0,144.0,0.007960009813840648,0.007928612041673286,-0.008265972542390925,0.0008636803700755319,0.014142135623730945,0.014142135623730945,7.044580081848567e-06,11.994631440355823,2.0614626424338893
16.25,146.25,0.007803468412366317,0.007772392605357794,-0.008100543904031282,0.000845459176787705,0.014142135623730945,0.014142135623730945,7.044832555081558e-06,11.709946963557796,2.0620100367343754
