step,time,rate_upper,gate_rate,gate_forcing_upper,eta_upper,eta_smooth_upper,eta_gate_upper,tube_radius_upper,radius_upper
17017,3.4034,0.09118008978143682,1.0,1.4074253193981309e-05,1.5761545948926052e-05,3.74175011699705e-06,1.2019795831928997e-05,2.1158631753375374e-06,1.1030776500269779e-06
17018,3.4036,0.09112260551841336,1.0,1.4771479843962424e-05,1.664635378105799e-05,4.169698580203386e-06,1.24766552008546e-05,2.1233974173619598e-06,1.109602647275205e-06
17019,3.4038,0.0911574128552382,1.0,1.465412712311152e-05,1.637587784293312e-05,3.6646242240487046e-06,1.271125361888441e-05,2.130851314561147e-06,1.1160515021451794e-06
17020,3.404,0.09109997681025891,1.0,1.5339107531688083e-05,1.7487878954992798e-05,4.718811653910853e-06,1.2769067301081941e-05,2.1390817428878795e-06,1.1228611871738321e-06
17021,3.4042,0.09104257968386027,1.0,1.6818165463422786e-05,1.7163996937407195e-05,4.310453780102246e-06,1.2853543157304944e-05,2.147103591442959e-06,1.129903405835353e-06
17022,3.4044,0.09098521845108186,1.0,1.7181245941457125e-05,1.661362485299893e-05,4.082592477230754e-06,1.2531032375768173e-05,2.1545658136429993e-06,1.136909685924057e-06
17023,3.4046,0.09092790600391207,1.0,1.7615640823503897e-05,1.7979713171542287e-05,3.0342300799452376e-06,1.4945483091597046e-05,2.16285528590921e-06,1.1442776177826807e-06
17024,3.4048,0.09087065682927187,1.0,1.719322585628953e-05,2.7334881572165663e-05,2.6455907283348698e-06,2.468929084383079e-05,2.173618100670901e-06,1.1534338898382042e-06
17025,3.405,0.09081345868801508,1.0,1.5445460755700532e-05,3.109568210655673e-05,6.2017860796586745e-06,2.4893896026898048e-05,2.1854357183628003e-06,1.1629947975315623e-06
17026,3.4052,0.09075633964579558,1.0,1.4880422872407446e-05,4.4752211540006894e-05,2.1880565747683443e-05,2.2871645792323444e-05,2.2011767299732146e-06,1.1751763618672644e-06
17027,3.4054,0.09074905195102109,1.0,1.4379486562606522e-05,3.903944397869697e-05,1.4110228412005678e-05,2.4929215566691286e-05,2.2152770977771087e-06,1.1861177058587092e-06
17028,3.4056,0.09069190696824952,1.0,1.561538284861354e-05,1.336173111416819e-05,4.484063355892294e-06,8.877667758275895e-06,2.221794743743102e-06,1.1921725268181763e-06
17029,3.4058,0.09063480162755276,1.0,1.4615589804993907e-05,1.3032340072543691e-05,2.9009253887068573e-06,1.0131414683836831e-05,2.228204044426343e-06,1.1979627892463557e-06
17030,3.406,0.0905777343110964,1.0,1.4681563490324172e-05,1.2171399547267895e-05,5.3454027436031484e-06,6.8259968036647446e-06,2.2341700430941282e-06,1.2035952904084766e-06
