step,time,radius,rate,gate_rate,gate_forcing,eta,eta_smooth,eta_gate,attempts
14,0.0028,7.80173671670601e-11,4.576809851784558,0.0,1.0263087621930099e-08,1.5173971576150297e-08,2.0356213860560275e-09,1.313835019009427e-08,1
15,0.003,8.34662652829076e-11,4.575655286003513,0.0,1.075488640905074e-08,1.61151616403955e-08,2.117492107684798e-09,1.3997669532710701e-08,1
16,0.0032,8.927533020343763e-11,4.576082581733491,0.0,1.1616400336079666e-08,1.7028688678108806e-08,2.153221678263268e-09,1.4875466999845538e-08,1
17,0.0034000000000000002,9.525671719912303e-11,4.580089063649211,0.0,1.2090234360654596e-08,1.7389118392104626e-08,2.113613504090312e-09,1.5275504888014315e-08,1
18,0.0036000000000000003,1.0098090474120387e-10,4.580088632541563,0.0,1.1559546301287847e-08,1.6607002848834995e-08,2.086864917558958e-09,1.4520137931276038e-08,1
19,0.0038,1.0666056678275953e-10,4.580088200653645,0.0,1.1411847931654421e-08,1.650595842416277e-08,2.118612100389917e-09,1.4387346323772853e-08,1
20,0.004,1.1225336823626059e-10,4.577783952861502,0.0,1.120952902423675e-08,1.6248412135245175e-08,2.1452053812058515e-09,1.4103206754039324e-08,1
21,0.004200000000000001,1.1787740765790313e-10,4.5777835196166645,0.0,1.1264635643051462e-08,1.632382128079106e-08,2.065065247645797e-09,1.425875603314526e-08,1
22,0.0044,1.231082608052058e-10,4.577783085587687,0.0,1.0499914407835044e-08,1.5097765385096636e-08,2.108471436624139e-09,1.2989293948472498e-08,1
23,0.0046,1.2851640009387575e-10,4.577783020927532,0.0,1.0825702421186191e-08,1.563405664879976e-08,2.152353029920946e-09,1.3481703618878814e-08,1
24,0.0048000000000000004,1.3393444886016765e-10,4.577821058509946,0.0,1.0820589148505338e-08,1.5663932351647222e-08,2.057855388105365e-09,1.3606076963541858e-08,1
25,0.005,1.3940374523512024e-10,4.578047480457675,0.0,1.0819707928323463e-08,1.589610052949421e-08,2.156143054219757e-09,1.3739957475274452e-08,1
26,0.005200000000000001,1.4462732523142815e-10,4.57778171173711,0.0,1.0188105412748983e-08,1.5274682561065695e-08,2.030254521921256e-09,1.324442803914444e-08,1
27,0.0054,1.4982637569554947e-10,4.577781273759768,0.0,1.0097030446124788e-08,1.521925365908993e-08,2.0554674421740175e-09,1.3163786216915912e-08,1
28,0.0056,1.551116105266445e-10,4.5755167446190725,0.0,1.0232954457419189e-08,1.549059939781272e-08,2.1697181057983703e-09,1.3320881292014351e-08,1
29,0.0058000000000000005,1.6037209676074434e-10,4.575516305791994,0.0,1.0086582573134041e-08,1.5489102296022077e-08,2.0968714669139498e-09,1.3392230829108126e-08,1
30,0.006,1.6598154644426238e-10,4.576009189539639,0.0,1.0992636272457727e-08,1.630291775447027e-08,2.0356031460390986e-09,1.4267314608431171e-08,1
31,0.006200000000000001,1.717392742925072e-10,4.578373233088633,0.0,1.1235374773455661e-08,1.6775162784298522e-08,2.046446430228281e-09,1.472871635407024e-08,1
32,0.0064,1.7766891630378514e-10,4.583418022940805,0.0,1.1576838439169447e-08,1.7265634084757736e-08,2.027794264828109e-09,1.5237839819929626e-08,1
33,0.0066,1.8342644460523177e-10,4.583417792472485,0.0,1.1238375276213735e-08,1.6716745086351897e-08,2.1056826446777563e-09,1.461106244167414e-08,1
34,0.0068000000000000005,1.8908946084600317e-10,4.58341734840028,0.0,1.095521981174926e-08,1.6501167733504725e-08,2.0461544143614202e-09,1.4455013319143304e-08,1
35,0.007,1.9516027217304032e-10,4.590003641673988,0.0,1.1640893759352845e-08,1.7826313464250898e-08,2.081601672472631e-09,1.5744711791778265e-08,1
36,0.007200000000000001,2.0130177919153048e-10,4.590003195388281,0.0,1.1957667728164766e-08,1.7834990773124767e-08,2.0738205374814564e-09,1.576117023564331e-08,1
37,0.0074,2.075234230922242e-10,4.590002748295051,0.0,1.2179046514385911e-08,1.7985923066307786e-08,2.0510946163950676e-09,1.593482844991272e-08,1
38,0.0076,2.1391568602895535e-10,4.590002300392985,0.0,1.27014981366768e-08,1.8287617844938392e-08,2.0435343684519895e-09,1.6244083476486403e-08,1
