t,residual_norm,smooth_log_norm,loss_bound_log_norm,parameter_speed,gate_defect_0.0002,count_0.0002,gate_defect_0.0001,count_0.0001,gate_defect_1e-05,count_1e-05
0.36000000000000004,2.5539561278658867,4.504156053914855,5.423584395364857,0.2267855271699463,6.835669757983331e-09,24,5.059618760135702e-09,12,0.0,0
0.38,2.553515866609207,4.503066903038524,5.422649456015054,0.24767227618300192,6.806249685503011e-09,30,3.947080894262312e-09,16,1.047116705137853e-09,2
0.4,2.5529906319106095,4.50176345086772,5.421534066958784,0.2705038211007444,7.192073986908204e-09,24,6.087017789382848e-09,18,1.6381212829628375e-09,3
0.42000000000000004,2.5523639197985855,4.500203692018306,5.420203180341714,0.2954551327289703,1.1725334361931252e-08,27,8.234466637810938e-09,15,3.662566538364795e-09,2
0.44,2.551616037547956,4.498337459652043,5.418614976668272,0.3227150212648446,2.2658539443171714e-08,46,1.460163850480006e-08,21,1.7111678661370568e-09,2
0.46,2.5507235004047577,4.496104868964718,5.416719583685865,0.3524867099769085,2.0965844766113568e-08,25,1.204857697127387e-08,15,3.045030555290699e-09,1
0.48000000000000004,2.5496583197210283,4.493434478072538,5.414457564667024,0.3849881449631829,2.805039524673993e-08,34,1.4419204632770612e-08,16,0.0,0
0.5,2.548387166017152,4.490241119754072,5.411758141087569,0.42045206530230883,4.17426091429778e-08,41,2.1031115104729475e-08,17,6.048701424839167e-09,3
0.52,2.5468703888704867,4.486423357394265,5.408537111260885,0.45912561010501685,4.623180114026328e-08,41,2.666427169689715e-08,22,8.093018833210959e-09,3
0.54,2.5450608742243745,4.4818605008735615,5.404694423717916,0.5012694822434963,3.907398217822598e-08,28,2.6225020158569598e-08,15,0.0,0
0.56,2.5429027199960466,4.476409137181905,5.400111364726479,0.5471563183298422,5.640820275397845e-08,34,3.245349840455644e-08,18,7.792895582004334e-09,2
0.5800000000000001,2.5403297125562943,4.469899111596191,5.394647322941604,0.5970680603892644,7.386678837224453e-08,40,5.0886933129236223e-08,20,0.0,0
0.6,2.5372635895761797,4.462128902909191,5.388136100384655,0.6512921748476015,1.0285128403655012e-07,39,5.673475647216806e-08,22,1.7549702773340332e-08,1
0.62,2.53361208295859,4.4528603768251385,5.38038175641036,0.7101159834404348,1.489435742983581e-07,42,7.714215698431068e-08,15,2.3913214759433613e-08,2
0.64,2.5292667469142738,4.441812866702851,5.37115399540639,0.7738190471985643,1.194006181295145e-07,30,7.457799755946985e-08,14,3.9147365350170045e-08,4
0.66,2.52410059656495,4.428656631490418,5.360183152128,0.8426627413513441,1.476274291295985e-07,37,1.0434992357889259e-07,20,2.567153012588172e-08,2
0.68,2.51796561022943,4.413005752480573,5.34715488754974,0.916876523173714,1.7173628644605732e-07,31,1.2754787640224898e-07,17,5.006770854451632e-08,2
0.7000000000000001,2.51069019203921,4.394410647580256,5.331704800472794,0.9966400826381225,2.995444414449893e-07,36,1.9266539490020881e-07,19,0.0,0
0.7200000000000001,2.502076751165665,4.372350510825394,5.3134132867688395,1.082060436644125,2.3208332539393394e-07,29,1.281124097065861e-07,13,5.2657023530428056e-08,1
0.74,2.4918996337272157,4.3462260984525205,5.291801147575558,1.1731436194737535,3.8135687411818265e-07,36,2.267944287786963e-07,18,7.96245531961084e-08,2
0.76,2.479903745210962,4.315353603055662,5.266326663869507,1.2697598818637437,4.934122099826443e-07,37,3.191385188127929e-07,22,7.871232837567224e-09,1
0.78,2.465804338114546,4.278960600821804,5.236385145502112,1.37160222115793,4.289238542248342e-07,26,1.6514563822193978e-07,9,6.494755149293864e-08,1
0.8,2.449288589305306,4.236185376986093,5.201312280881525,1.4781385068165032,7.275093376962789e-07,39,3.972136282243279e-07,17,1.6231174796552808e-07,2
0.8200000000000001,2.4300197570014213,4.186081397490947,5.160392964742927,1.5885585240929923,1.0435270827260062e-06,48,8.35598106318121e-07,34,1.5173655648313288e-07,4
