t,dt,defect_norm,defect_derivative_norm,smooth_log_norm,loss_log_norm,speed,accel,jerk
0.455,0.010000000000000009,0.00022886581905783864,0.0004560222897342373,4.496701056193035,5.41722530481285,0.3445684773465475,1.5262626422362473,24.992932575409466
0.465,0.010000000000000009,0.0002390921306558734,0.00047488318447360035,4.4954813925427715,5.4161910090207765,0.3601089193676017,1.5944569497310128,26.092846510244648
0.47500000000000003,0.010000000000000009,0.00024974741548537736,0.0004948384835211942,4.494147523837134,5.415061102127034,0.3763453379394553,1.665514446073213,27.236355459963374
0.48500000000000004,0.010000000000000009,0.0002608461575493835,0.0005141023188953518,4.492688833605209,5.4138267611411,0.3933068218719122,1.7395269023286168,28.424177899424308
0.495,0.009999999999999953,0.000272401311346714,0.0005350878763300067,4.491093734611774,5.412478361153959,0.4110233593165821,1.8165830430621308,29.657541857631085
0.505,0.010000000000000009,0.0002844263689274557,0.0005566995473616335,4.489349582296916,5.411005405350148,0.42952583505166386,1.8967731761067257,30.937570916231525
0.515,0.010000000000000009,0.0002969336925006911,0.000577637675679513,4.487442581299009,5.409396449280072,0.44884601936551094,1.980180953223731,32.26410687955933
0.525,0.010000000000000009,0.000309937278398522,0.0006009656010964587,4.485357686246459,5.407639019420556,0.46901649599478584,2.0668888931744833,33.638467809734024
0.535,0.010000000000000009,0.0003234459338167285,0.000622409923406489,4.483078492386008,5.405719525419887,0.490070653511965,2.15697094398239,35.0601812358386
0.545,0.010000000000000009,0.00033747066904698115,0.0006462101538787724,4.480587120382941,5.403623165928891,0.5120425856258847,2.2504960914832672,36.529787539717496
0.555,0.010000000000000009,0.00035202062319485844,0.0006702846377461526,4.477864089821265,5.401333827638359,0.534967033345504,2.3475225539169746,38.04679717299309
0.5650000000000001,0.010000000000000009,0.00036710277054463375,0.0006931834492278898,4.4748881858059315,5.398833977315073,0.5588792775287947,2.448098825863852,39.61051510871736
0.5750000000000001,0.010000000000000009,0.00038272342712774866,0.0007190467054591542,4.471636313661864,5.396104546662114,0.5838150170067438,2.5522609025712857,41.22040734168654
0.5850000000000001,0.010000000000000009,0.0003988859812268675,0.0007400720825880457,4.468083343373158,5.3931248096895485,0.6098102641840346,2.660031224852398,42.87423313984367
0.595,0.009999999999999898,0.00041558803125519146,0.000766016522864157,4.46420195046876,5.3898722526384875,0.6369011095411048,2.7714032872565615,44.57040998437986
0.605,0.010000000000000009,0.0004328284075400054,0.000791137455923302,4.459962437615802,5.386322437172331,0.6651235522828499,2.8863633015146313,46.306645721824715
0.615,0.010000000000000009,0.00045060021633420625,0.0008117848530546123,4.4553325494821605,5.382448855592629,0.6945132928161151,3.004861954188958,48.078942681537015
0.625,0.010000000000000009,0.00046888936239005655,0.0008356503318844734,4.450277279742431,5.378222779863406,0.7251053988727448,3.126821967238167,49.883619393533195
0.635,0.010000000000000009,0.00048768260420162555,0.0008597089169891686,4.444758665755757,5.37361310444459,0.7569340182929157,3.2521322217091244,51.715771551053905
0.645,0.010000000000000009,0.000506958159809503,0.000875851170833286,4.438735573012189,5.368586183650919,0.7900320136784081,3.380642197659275,53.56827657436
0.655,0.010000000000000009,0.0005266814314965556,0.0009029846670845315,4.432163473604559,5.363105664995631,0.824430506775323,3.51215716260709,55.43562150955948
