index,time,phi_deg,dV_dphi,stable_root_count,branch_exists
512,5.12,84.63952264776731,-0.18734260159969815,1,1
513,5.13,84.63952226629735,-0.18701618871406006,1,1
514,5.140000000000001,84.63952264776685,-0.1866907898500508,1,1
515,5.15,84.6246106146856,-0.14022429147816337,1,1
516,5.16,84.62461023321563,-0.13998198814014642,1,1
517,5.17,84.62461061468514,-0.13974044851349174,1,1
518,5.180000000000001,84.62461023321518,-0.13949965380979354,1,1
519,5.19,84.62461061468468,-0.13925965782614363,1,1
520,5.2,84.62461023321472,-0.13902041567588272,1,1
521,5.21,84.62461061468423,-0.1387818937776971,1,1
522,5.220000000000001,84.62461023321427,-0.13854408785157338,1,1
523,5.23,84.62461061468377,-0.13830702759663285,1,1
524,5.24,84.57308130254978,-0.14405581331650275,1,1
525,5.25,84.57308092107982,-0.14381707770704524,1,1
526,5.260000000000001,84.57308130254933,-0.1435790549223533,1,1
527,5.2700000000000005,84.57308092107937,-0.1433417274830803,1,1
528,5.28,84.57308130254887,-0.14310509600714186,1,1
529,5.29,84.57308092107891,-0.1428691607667043,1,1
530,5.3,84.57308130254842,-0.14263395569685883,1,1
531,5.3100000000000005,84.57308092107846,-0.1423994404279946,1,1
532,5.32,84.56117792120031,-0.19892418019123623,1,1
533,5.33,84.56117753973035,-0.19859922643410877,1,1
534,5.34,84.56117792119986,-0.19827530968199003,1,1
535,5.3500000000000005,84.5611775397299,-0.19795231411006148,1,1
536,5.36,84.5611779211994,-0.19763024790837827,1,1
537,5.37,84.56117753972944,-0.19730906918463975,1,1
538,5.38,84.56117792119895,-0.19698881533464874,1,1
539,5.390000000000001,84.56117753972899,-0.19666946603531213,1,1
540,5.4,84.56117792119849,-0.19635102917131472,1,1
541,5.41,84.56117753972853,-0.1960335170122312,1,1
542,5.42,84.53451318731129,-0.24899539675861418,1,1
543,5.430000000000001,84.53451280584133,-0.2485949649901856,1,1
544,5.44,84.53451318731084,-0.2481956845386772,1,1
545,5.45,84.53451280584088,-0.24779754545049698,1,1
546,5.46,84.53451318731038,-0.2474005583700784,1,1
547,5.470000000000001,84.53451280584042,-0.24700469972920053,1,1
548,5.48,84.53451318730993,-0.24660996470400698,1,1
549,5.49,84.53451280583997,-0.24621633753235753,1,1
550,5.5,84.53451318730947,-0.24582380529821285,1,1
551,5.510000000000001,84.51701173772429,-0.3663880542917637,1,1
552,5.5200000000000005,84.5170121191938,-0.36581210682285054,1,1
553,5.53,84.51701173772383,-0.3652377151433301,1,1
554,5.54,84.51701211919334,-0.36466491094239467,1,1
555,5.55,84.51701173772338,-0.3640936885770977,1,1
556,5.5600000000000005,84.51701211919288,-0.36352403620792967,1,1
557,5.57,84.51701173772292,-0.362955930999567,1,1
558,5.58,84.51701211919243,-0.3623893911537632,1,1
559,5.59,84.51701173772247,-0.3618244430286724,1,1
560,5.6000000000000005,84.51701211919197,-0.36126104233864653,1,1
561,5.61,84.51701173772202,-0.3606991869681275,1,1
562,5.62,84.50219888676966,-0.31114822967795,1,1
563,5.63,84.50219926823917,-0.3106674304635493,1,1
564,5.640000000000001,84.50219888676921,-0.3101879933961583,1,1
565,5.65,84.50219926823871,-0.30970990192406306,1,1
566,5.66,84.50219888676875,-0.30923314682985775,1,1
567,5.67,84.50219926823826,-0.3087576933975038,1,1
568,5.680000000000001,84.5021988867683,-0.3082835167452505,1,1
569,5.69,84.5021992682378,-0.3078106032985378,1,1
570,5.7,84.50219888676784,-0.30733893390999784,1,1
571,5.71,84.50219926823735,-0.3068685229718945,1,1
572,5.720000000000001,84.50219888676739,-0.30639935384695094,1,1
573,5.73,84.48326539982867,-0.2614309446270947,1,1
574,5.74,84.48326501835871,-0.2610333546728048,1,1
575,5.75,84.48326539982821,-0.26063680379167586,1,1
576,5.760000000000001,84.48326501835825,-0.26024128957527504,1,1
577,5.7700000000000005,84.48326539982776,-0.2598467777558633,1,1
578,5.78,84.4832650183578,-0.2594532887056741,1,1
579,5.79,84.4832653998273,-0.2590608559552442,1,1
580,5.800000000000001,84.48326501835734,-0.25866946604006386,1,1
581,5.8100000000000005,84.48326539982685,-0.25827907440376574,1,1
582,5.82,84.48326501835689,-0.25788970258756544,1,1
583,5.83,84.4832653998264,-0.25750135947607766,1,1
584,5.84,84.48326501835643,-0.25711405907663765,1,1
585,5.8500000000000005,84.4702137946013,-0.25671440519125327,1,1
586,5.86,84.47021341313135,-0.2563291151179896,1,1
587,5.87,84.47021379460085,-0.25594480849532664,1,1
588,5.88,84.47021341313089,-0.2555614988895351,1,1
589,5.890000000000001,84.4702137946004,-0.255179208892822,1,1
590,5.9,84.47021341313044,-0.2547978932853976,1,1
591,5.91,84.47021379459994,-0.2544175555509232,1,1
592,5.92,84.47021341312998,-0.2540382387747722,1,1
593,5.930000000000001,84.47021379459949,-0.25365990732984567,1,1
594,5.94,84.47021341312953,-0.2532825596020694,1,1
595,5.95,84.47021379459903,-0.25290621415936715,1,1
596,5.96,84.47021341312907,-0.2525308532060068,1,1
597,5.970000000000001,84.46796312321186,-0.2521541708961852,1,1
598,5.98,84.46796350468136,-0.25178073542306545,1,1
599,5.99,84.4679631232114,-0.2514082695910898,1,1
600,6.0,84.46796350468091,-0.25103674957509003,1,1
601,6.010000000000001,84.46796312321095,-0.2506661503597982,1,1
602,6.0200000000000005,84.46796350468045,-0.25029649417865607,1,1
603,6.03,84.4679631232105,-0.24992777982945996,1,1
604,6.04,84.46796350468,-0.24956001347432252,1,1
605,6.050000000000001,84.46796312321004,-0.24919319137723084,1,1
606,6.0600000000000005,84.46796350467955,-0.24882732073272523,1,1
607,6.07,84.46796312320959,-0.2484623653167255,1,1
608,6.08,84.46796350467909,-0.24809832620925462,1,1
609,6.09,84.46796312320913,-0.2477352027946263,1,1
610,6.1000000000000005,84.46796350467864,-0.2473730035266126,1,1
611,6.11,84.39220933902902,-0.20629767671013616,1,1
612,6.12,84.39220972049853,-0.20601002185672249,1,1
613,6.13,84.39220933902857,-0.2057230948939519,1,1
614,6.140000000000001,84.39220972049807,-0.2054368777822298,1,1
