psi_deg,x1,x2,slope_x2_over_x1,selector_switch_count,first_switch_time,first_switch_transition,actual_persistent_swing,actual_S_normalized,t_reversal_actual,t_rebound_actual,predicted_persistent_swing,predicted_S_normalized,t_reversal_predicted,t_rebound_predicted,selector_model_relative_rms_over_time
142.422446,-0.7925286109487469,0.609834732388743,-0.7694797688864524,1,1.1557343882181157,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.011207307923859162
142.472446,-0.7930604903073539,0.6091428885848208,-0.7680913322875849,1,1.1557389887257294,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.011154462726397226
142.5,-0.793353340291235,0.6087614290087209,-0.7673269879789607,1,1.1557415244638707,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.011125350109351098
142.522446,-0.7935917657158985,0.6084505808920906,-0.7667047557420253,1,1.155743590381913,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.011101642460702438
142.572446,-0.7941224367697916,0.6077578098377744,-0.7653200334068354,1,1.1557481931941083,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.01104888246874591
142.622446,-0.7946525030649036,0.6070645759494482,-0.7639371594603357,1,1.1557527971697639,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010996244436026663
142.672446,-0.7951819641975663,0.6063708797550394,-0.7625561281020001,1,1.1557574023163357,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010943847008603163
142.722446,-0.7957108197645718,0.6056767217828279,-0.7611769335523557,1,1.1557620086412874,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.01089195741759309
142.772446,-0.7962390693631738,0.6049821025614451,-0.7597995700528805,1,1.1557666161520899,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.01084369379609463
142.822446,-0.7967667125910874,0.6042870226198734,-0.7584240318659027,1,1.1557712248562215,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010803198841329404
142.872446,-0.7972937490464886,0.6035914824874475,-0.7570503132745035,1,1.1557758347611682,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010763993165492172
142.922446,-0.7978201783280173,0.6028954826938502,-0.7556784085824094,1,1.1557804458744232,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.01072472342713174
142.972446,-0.7983460000347736,0.6021990237691167,-0.7543083121139038,1,1.1557850582034876,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010685393807157703
143.0,-0.7986355100472929,0.6018150231520482,-0.7535540501027939,1,1.1557876004881351,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010663694324924424
143.022446,-0.7988712137663224,0.6015021062436298,-0.7529400182137179,1,1.15578967175587,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010646005945147212
143.072446,-0.7993958191226899,0.6008047306481231,-0.7515735212469414,1,1.1557942865390871,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010606563086934327
143.122446,-0.7999198157043664,0.6001068975136784,-0.7502088155989192,1,1.1557989025606628,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010567064797790673
143.172446,-0.8004432031123059,0.5994086073717259,-0.7488458956751565,1,1.1558035198281291,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010527515317266948
143.222446,-0.800965980947926,0.598709860754044,-0.7474847559012228,1,1.155808138349026,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010487918447395845
143.272446,-0.8014881488131087,0.5980106581927584,-0.7461253907226554,1,1.155812758130901,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010448277711932944
143.322446,-0.8020097063102006,0.5973110002203422,-0.7447677946048633,1,1.15581737918131,off_to_on,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0.010408597043792687
