step,radius,beta
87,7.746112542132953e-10,0.0
88,7.814085412592199e-10,0.0
89,7.876045446341427e-10,0.0
90,7.936685155495771e-10,0.0
91,7.996487125401011e-10,0.0
92,8.061854300413166e-10,0.0
93,8.125604463860509e-10,0.0
94,8.190540409590177e-10,0.0
95,8.258254242240005e-10,0.0
96,8.322117114543991e-10,0.0
97,8.388835720763678e-10,0.0
98,8.45870236474271e-10,0.0
99,8.531988361016415e-10,0.0
100,8.610206305568971e-10,0.0
101,8.690483124140692e-10,0.0
102,8.77254922700496e-10,0.0
103,8.853643405726613e-10,0.0
104,8.937852104163619e-10,0.0
105,9.029983718890853e-10,0.0
106,9.117325403386215e-10,0.0
107,9.203112692247377e-10,0.0
108,9.29022327995479e-10,0.0
109,9.37973880214227e-10,0.0
110,9.46883526968176e-10,0.0
111,9.555538388060496e-10,0.0
112,9.640580019491428e-10,0.0
113,9.730368863201204e-10,0.0
114,9.81851418004126e-10,0.0
115,9.904989627764666e-10,0.0
116,9.992841397125739e-10,0.0
117,1.0078451165390432e-09,0.0
118,1.0165865112076678e-09,0.0
119,1.0262948335793375e-09,0.0
120,1.0360632078831442e-09,0.0
121,1.045022933273149e-09,0.0
122,1.0544181599024785e-09,0.0
123,1.0638109279132163e-09,0.0
124,1.0732266550598946e-09,0.0
125,1.0825171082172838e-09,0.0
126,1.091884218929241e-09,0.0
127,1.1008731158096951e-09,0.0
128,1.1101996688443767e-09,0.0
129,1.1199394121516368e-09,0.0
130,1.1300842614305556e-09,0.0
131,1.1402575522126788e-09,0.0
132,1.1508319838228015e-09,0.0
133,1.1607415297251286e-09,0.0
134,1.1710209342964594e-09,0.0
135,1.1807854351019641e-09,0.0
136,1.1908070343624235e-09,0.0
137,1.2013280322708024e-09,0.0
138,1.211594047715645e-09,0.0
139,1.2211106220604953e-09,0.0
140,1.2306127098909e-09,0.0
141,1.2405483038644e-09,0.0
142,1.2508341456256274e-09,0.0
143,1.2613408243396466e-09,0.0
144,1.2726699764401298e-09,0.0
145,1.2845206213330962e-09,0.0
146,1.2960546893397119e-09,0.0
147,1.3078563502789714e-09,0.0
148,1.319595837987459e-09,0.0
149,1.3307002243116387e-09,0.0
150,1.341657686928531e-09,0.0
151,1.35258428167268e-09,0.0
152,1.3637292523968263e-09,0.0
153,1.3756033744548337e-09,0.0
154,1.3875084277187611e-09,0.0
155,1.39970894944466e-09,0.0
156,1.4107481454924084e-09,0.0
157,1.4212817587836188e-09,0.0
158,1.4311534558894364e-09,0.0
159,1.4410082974283803e-09,0.0
160,1.4505786558632873e-09,0.0
161,1.460138497836278e-09,0.0
162,1.4695182981831445e-09,0.0
163,1.479338046310767e-09,0.0
164,1.489515448673711e-09,0.0
165,1.4999744437928502e-09,0.0
166,1.510644652455934e-09,0.0
167,1.5212987762226663e-09,0.0
168,1.5322002067810033e-09,0.0
169,1.5425777901962758e-09,0.0
170,1.5532100005315037e-09,0.0
171,1.5635060774100932e-09,0.0
172,1.5737305944408534e-09,0.0
173,1.583539830512903e-09,0.0
174,1.593207643104221e-09,0.0
175,1.6034098823642654e-09,0.0
176,1.6142426806532119e-09,0.0
177,1.6247970054294935e-09,0.0
178,1.636100981113713e-09,0.0
179,1.647021172434282e-09,0.0
180,1.6580976051056796e-09,0.0
181,1.6689947338504898e-09,0.0
182,1.6801699228857592e-09,0.0
