step,smooth_rate_upper
162,4.564740956043361
163,4.564740397639539
164,4.564739838228006
165,4.5647392778069165
166,4.564738716374515
167,4.564738153928995
168,4.564737590468564
169,4.564737025991374
170,4.5647364604956255
171,4.5647358939794875
172,4.564733321084033
173,4.564731963892965
174,4.564731394277793
175,4.564730823634749
176,4.56473025196207
177,4.564729679257958
178,4.564729109150467
179,4.564728534377828
180,4.564727958568069
181,4.564727381719438
182,4.564726803830013
183,4.564726228112858
184,4.564724388821255
185,4.564723807787743
186,4.5647232257058175
187,4.5647226425737175
188,4.5647220670490825
189,4.564721481811377
190,4.564720895518006
191,4.564720308167161
192,4.564719733630755
193,4.564719144159246
194,4.56471855362447
195,4.564717039994653
196,4.564716451798779
197,4.564715858055761
198,4.564712973987459
199,4.564711047702528
200,4.56471045071349
201,4.564709852647729
202,4.564709253503386
203,4.564708653278588
204,4.564708051971376
205,4.564707449579705
206,4.56470684610172
207,4.564706241535474
208,4.564705635878902
209,4.564705029130158
210,4.564704421287254
211,4.564703812348217
212,4.564703202311181
213,4.56470113861987
214,4.564700532611721
215,4.56469991925871
216,4.564699310649671
217,4.5646986950830195
218,4.564698078406449
219,4.5646974659182105
220,4.5646955734892884
221,4.56469342070817
222,4.564692799553671
223,4.564692177279317
224,4.564691553883072
225,4.56469092936291
226,4.564690303716795
227,4.564689676942918
228,4.564689054863444
229,4.56468843111863
230,4.564687805724913
231,4.564687174419773
232,4.564686547474249
233,4.564685913890907
234,4.564685285827258
235,4.564684649957905
236,4.564684012942448
237,4.564681572077386
238,4.5646809327527835
239,4.564680292275931
240,4.5646796506447815
241,4.5646790078572685
242,4.5646783639112565
243,4.564677725135444
244,4.564677078866279
245,4.564676431432487
246,4.56467578283193
247,4.564675133062537
248,4.5646744821221095
249,4.564673830008483
250,4.564673176719647
251,4.564672522253463
252,4.564671866608027
253,4.564671209781031
254,4.5646705517704955
255,4.564668214148796
256,4.564667553755417
257,4.5646668921721005
258,4.564666229396737
259,4.56466556542721
260,4.564664900261451
261,4.564664233897221
262,4.56466165206224
263,4.564660983284357
264,4.564660313301538
265,4.564659642111498
266,4.564658969712363
267,4.56465664445765
268,4.5646559696249005
269,4.5646552935764815
270,4.564654616310157
271,4.564653949323681
272,4.5646511190663475
273,4.564648261727285
274,4.564647587734959
275,4.564646904323874
276,4.564643790556255
277,4.564638748566405
278,4.564638071587994
279,4.564637383204601
280,4.56463450763526
281,4.564631673599174
282,4.564630981467524
283,4.564630298606009
284,4.5646296039793075
285,4.564628908101579
286,4.5646282185655265
287,4.5646275201791795
288,4.564626820535094
289,4.564626119631003
290,4.5646254174646135
291,4.56462471403369
292,4.564624009336088
293,4.564623303369525
294,4.564622596131648
295,4.564621887620208
296,4.564621191372558
297,4.564620480307216
298,4.56461976796141
299,4.564619054332967
300,4.564615606246378
301,4.564614890032823
302,4.564611637348832
303,4.564610918541668
304,4.564610207018085
305,4.564609485620502
306,4.564606502043048
307,4.564602802809526
308,4.564602077484002
309,4.564601350852577
310,4.5646006229129625
311,4.56459989366292
312,4.5645991630998575
313,4.564598431221377
314,4.564597698025362
