index,time,phi_deg,dV_dphi,lower_repeller_deg,root_count,branch_exists
198,1.9800000000000002,89.38186410902887,-3.1419878190017547,nan,1,1
199,1.99,89.39009500502485,-3.1251938150937724,nan,1,1
200,2.0,89.39312570570834,-3.166818737357608,nan,1,1
201,2.0100000000000002,89.39639383314963,-3.2061755954616498,nan,1,1
202,2.02,89.39907907484874,-3.1974541516307484,nan,1,1
203,2.0300000000000002,89.40406717299314,-3.063260484079909,nan,1,1
204,2.04,89.41104867934067,-3.109377252664149,nan,1,1
205,2.0500000000000003,89.41670145033666,-3.142437830507549,nan,1,1
206,2.06,89.42406503676233,-3.1491306919853246,nan,1,1
207,2.0700000000000003,89.43128763197706,-3.0553370009348697,nan,1,1
208,2.08,89.43825082777772,-3.12755932824685,nan,1,1
209,2.0900000000000003,89.44338235853934,-2.923160818396607,nan,1,1
210,2.1,89.4545209693791,-2.6946218291446633,nan,1,1
211,2.1100000000000003,89.46160501478911,-2.640682483880802,nan,1,1
212,2.12,89.46892343519914,-2.6549747343054184,nan,1,1
213,2.13,89.47891641615607,-2.663289300224273,nan,1,1
214,2.14,89.48697336195673,-2.741885124703963,nan,1,1
215,2.15,89.49783487318709,-2.54710412998358,nan,1,1
216,2.16,89.5042164039487,-2.657088296741047,nan,1,1
217,2.17,89.51404642103844,-2.6682819183336757,nan,1,1
218,2.18,89.5202985572688,-2.6928703086828123,nan,1,1
219,2.19,89.5262290382257,-2.713724490741048,nan,1,1
220,2.2,89.53666086195605,-2.6629659688051626,nan,1,1
221,2.21,89.54559549330358,-2.7209628091927107,nan,1,1
222,2.22,89.55180368422143,-2.665278908903011,nan,1,1
223,2.23,89.56246255873305,-2.7684356715407943,nan,1,1
224,2.24,89.5674921607837,-2.7853866353080847,nan,1,1
225,2.25,89.57540750502187,-2.6397866023055903,nan,1,1
226,2.2600000000000002,89.58429636000221,-2.6500576504992366,nan,1,1
227,2.27,89.593751010881,-2.6129562613253183,nan,1,1
228,2.2800000000000002,89.60248666761913,-2.5059837606156696,nan,1,1
229,2.29,89.60830911634949,-2.6744869399579523,nan,1,1
230,2.3000000000000003,89.61349130629077,-2.500470438963706,nan,1,1
231,2.31,89.62367410658362,-2.4246784287542633,nan,1,1
232,2.3200000000000003,89.63232553480614,-2.422163811268774,nan,1,1
233,2.33,89.63905923841929,-2.3980160737077814,nan,1,1
234,2.3400000000000003,89.65062753675906,-2.292170537588998,nan,1,1
235,2.35,89.6563688087316,-2.2215391310591657,nan,1,1
236,2.3600000000000003,89.66448678968851,-2.085398770776839,nan,1,1
237,2.37,89.6729221534579,-2.1517449842678666,nan,1,1
238,2.38,89.68136789320388,-2.0930251372364204,nan,1,1
239,2.39,89.69142007826238,-2.128901083899653,nan,1,1
240,2.4,89.69925424574274,-2.071492289809366,nan,1,1
241,2.41,89.70947366712934,-1.9326094232557747,nan,1,1
242,2.42,89.71469430921908,-1.906014163093415,nan,1,1
243,2.43,89.72033304212911,-1.8529044487275772,nan,1,1
244,2.44,89.728431491836,-1.8268045108878714,nan,1,1
