time,phi_true_root_deg,spread_q05_deg,spread_q50_deg,spread_q95_deg,spread_90_width_deg
4.430000000000001,84.7674381446464,-2.527774102060846,3.5726850077891186,4.078600586477023,6.606374688537869
4.44,84.76743844982207,-2.52346720040606,3.5643992791435153,4.0711977409409315,6.594664941346991
4.45,84.76743814464618,-2.5191775161680994,3.556150150555254,4.063816384065092,6.582993900233191
4.46,84.76081918712654,-2.5082867001869147,3.554554598611446,4.063086622349914,6.571373322536829
4.470000000000001,84.7608194923022,-2.5040324060450416,3.5463648762046205,4.055762794744339,6.559795200789381
4.48,84.76081918712632,-2.499794496528068,3.538212868074112,4.048470498499341,6.548264995027409
4.49,84.76081949230198,-2.4955739773437813,3.5300872616730317,4.041208559881397,6.536782537225179
4.5,84.76081918712609,-2.4913693074707624,3.521988788005558,4.033986668100226,6.525355975570989
4.51,84.76081949230175,-2.4871814123239346,3.5139158099046313,4.026799909105648,6.513981321429583
4.5200000000000005,84.76081918712586,-2.48300883312686,3.5058772308616426,4.019647400555073,6.5026562336819325
4.53,84.7359501075359,-2.453983190859333,3.5227275001690828,4.037400342844762,6.491383533704095
4.54,84.73594980236001,-2.4498418296896602,3.514737761646586,4.03032340813138,6.480165237821041
4.55,84.73595010753567,-2.4457163667959207,3.5067731196486704,4.02328201664389,6.468998383439811
4.5600000000000005,84.73594980235978,-2.4416053979884964,3.498842408058067,4.016264012041773,6.45786941003027
4.57,84.73595010753544,-2.4375100251952233,3.4909459810857015,4.009283468899184,6.446793494094408
4.58,84.73594980235956,-2.4334289644523324,3.4830836197495216,4.002336217166118,6.43576518161845
4.59,84.73061502452742,-2.424028162365744,3.480581902124669,4.000742809628434,6.424770971994178
4.6000000000000005,84.73061532970308,-2.41997698265979,3.472772655002899,3.993837848068921,6.413814830728711
4.61,84.7306150245272,-2.4159395663601515,3.4649987831166413,3.9869618621296468,6.402901428489798
4.62,84.73061532970286,-2.4119170790760336,3.4572597630723862,3.9801091243379574,6.392026203413991
4.63,84.73061502452697,-2.4079082105814678,3.449555311318136,3.9732821334587243,6.381190344040192
4.640000000000001,84.73061532970263,-2.403914053623339,3.441877501891838,3.9664829596449067,6.370397013268246
4.65,84.73061502452674,-2.399933246574136,3.4342252965652165,3.9597067755440776,6.359640022118214
4.66,84.7306153297024,-2.3959668997527217,3.4266075934272067,3.9529562355247094,6.348923135277431
4.67,84.70547769542495,-2.366876423321173,3.4441613450528052,3.9713791728727017,6.338255596193875
4.680000000000001,84.70547739024906,-2.3629370507449323,3.4366057679433766,3.9646992958924443,6.327636346637377
4.69,84.70547769542472,-2.35901197712451,3.429080573751321,3.9580456623458247,6.317057639470335
4.7,84.70547739024883,-2.355099844815186,3.4215841773667535,3.951419717555808,6.306519562370994
4.71,84.70547769542449,-2.3512017835272445,3.414116789312857,3.944811389658099,6.296013173185344
4.720000000000001,84.7054773902486,-2.3473164430239706,3.4066854000575404,3.9382278845575343,6.285544327581505
4.73,84.70547769542426,-2.3434449959249264,3.399283147773758,3.931657574266495,6.275102570191422
4.74,84.69823740001402,-2.3323461280154447,3.399146445621483,3.932343238397351,6.264689366412796
4.75,84.69823709483813,-2.328500304031081,3.3917987164157353,3.9258078222322865,6.254308126263368
4.76,84.6982374000138,-2.3246680167206364,3.3844745971633188,3.919287086125536,6.243955102846172
4.7700000000000005,84.6982370948379,-2.320847900986621,3.377180452038459,3.9127836679778056,6.233631568964427
4.78,84.69823740001357,-2.3170410126816137,3.36991496057621,3.90630190669782,6.223342919379434
4.79,84.69823709483768,-2.3132460085435866,3.3626821190135843,3.899825052052563,6.21307106059615
4.8,84.69823740001334,-2.3094640267855198,3.355473508128142,3.893365883013047,6.202829909798567
4.8100000000000005,84.69196390147809,-2.299420553427865,3.3545651233425815,3.893201733784025,6.19262228721189
4.82,84.69196420665375,-2.2956630206036266,3.3474077585938744,3.8867848409104795,6.182447861514106
4.83,84.69196390147786,-2.291916837935048,3.340282020999439,3.8803764615858825,6.1722932995209305
4.84,84.69196420665352,-2.288183132570424,3.3331803833808067,3.873993548854628,6.162176681425052
4.8500000000000005,84.69196390147764,-2.2844605888251124,3.3261067268594218,3.8676433162873423,6.152103905112455
4.86,84.6919642066533,-2.280750322040717,3.3190592699563695,3.861321466917161,6.142071788957878
4.87,84.69196390147741,-2.2770509727810406,3.3120370312541354,3.8550206360888524,6.132071608869893
4.88,84.69196420665307,-2.273363604846679,3.3050423040108683,3.848737595667046,6.122101200513725
4.890000000000001,84.69196390147718,-2.2696869225988507,3.2980656122260825,3.842478643220943,6.112165565819794
4.9,84.6836432838013,-2.2577010871382868,3.299420053755881,3.84456161526262,6.102262702400907
4.91,84.68364297862541,-2.2540465238201364,3.2924766631328737,3.838349033918348,6.0923955577384845
4.92,84.68364328380108,-2.2504033846973925,3.2855528438507804,3.832161422731076,6.082564807428469
4.930000000000001,84.68364297862519,-2.246770330657739,3.278649268511117,3.8260004591932955,6.072770789851035
4.94,84.68364328380085,-2.243148469836342,3.2717719293873415,3.8198581320765754,6.063006601912917
4.95,84.68364297862496,-2.2395365129292486,3.2649195480041158,3.8137355976021468,6.053272110531395
4.96,84.68364328380062,-2.2359356535145594,3.2580914311053846,3.807640122347209,6.043575775861768
4.970000000000001,84.68364297862473,-2.2323446284486295,3.2512869141242504,3.801568716604237,6.033913345052866
4.98,84.64070932383947,-2.1858306606529823,3.287439494985449,3.8384432314099968,6.024273892062979
4.99,84.64070901866359,-2.1822604052971712,3.2806865483644287,3.8323983381772564,6.014658743474428
5.0,84.64070932383925,-2.1787011159370024,3.2739614038991363,3.8263623155238236,6.005063431460826
5.010000000000001,84.64070901866336,-2.17515158970906,3.267264466439883,3.8203356242233895,5.995487213932449
5.0200000000000005,84.64070932383902,-2.1716130453356755,3.2605930724393772,3.814327169924894,5.98594021526057
5.03,84.64070901866313,-2.1680842599287757,3.2539429841719425,3.808341070122225,5.976425330051001
5.04,84.64070932383879,-2.1645664716831448,3.247318132933458,3.802375628750127,5.966942100433272
5.05,84.6395224952254,-2.1598718795916625,3.2419038700541023,3.797618802567399,5.957490682159062
5.0600000000000005,84.63952219004952,-2.156374054710909,3.235331920626379,3.791694590272698,5.948068644983607
5.07,84.63952249522518,-2.1528870581827846,3.228788052617375,3.7857933818112883,5.938680439994073
5.08,84.63952219004929,-2.1494096661704702,3.222273338345701,3.7799112662744676,5.929320932444938
5.09,84.63952249522495,-2.1459431017996735,3.2157833391419786,3.7740495563442664,5.91999265814394
5.1000000000000005,84.63952219004906,-2.142486133971829,3.2093185324969795,3.768207862414755,5.910693996386584
5.11,84.63952249522472,-2.1390399843937757,3.20287713294465,3.7623910931944806,5.901431077588256
5.12,84.63952219004884,-2.1356034495754557,3.196459889152095,3.756596410583427,5.8921998601588825
5.13,84.6395224952245,-2.1321777419217938,3.190066135989696,3.750821138642209,5.882998880564003
5.140000000000001,84.63952219004861,-2.128761642623658,3.183694190753471,3.745057652891262,5.87381929551492
5.15,84.62461038584928,-2.1104442653214903,3.192259104162531,3.7542281740716135,5.864672439393104
5.16,84.62461069102494,-2.1070492039676196,3.1859388011203578,3.748507361755344,5.855556565722964
5.17,84.62461038584905,-2.103663687471453,3.1796423008125316,3.7427996020655883,5.846463289537041
5.180000000000001,84.62461069102471,-2.1002888940237767,3.173366732712168,3.7371042958661747,5.837393189889951
5.19,84.62461038584883,-2.096923546849837,3.1671123663577987,3.731434316220458,5.828357863070295
5.2,84.62461069102449,-2.0935688031382824,3.160883654357889,3.7257816048488053,5.819350407987088
5.21,84.6246103858486,-2.090223423175729,3.1546767448617743,3.720146836682545,5.810370259858274
5.220000000000001,84.62461069102426,-2.0868885232360412,3.1484897692162974,3.714525481431963,5.801414004668004
5.23,84.57308084483276,-2.032033293490855,3.193855010974289,3.7604520959919796,5.7924853894828345
