time,fraction_neurons_with_any_gate_flip,mean_neuron_gate_flip_fraction,mass_weighted_gate_flip_fraction,frozen_gate_relative_rms_error,frozen_gate_relative_rms_error_cluster1,frozen_gate_relative_rms_error_cluster2
6.04,0.77,0.07298500000000001,0.0854562577036223,0.00697356527811344,0.008201866459740657,0.00264392074127416
6.050000000000001,0.77,0.0731675,0.085709106480117,0.006998542672488932,0.008228650122397338,0.0026713216467214715
6.0600000000000005,0.77,0.073315,0.08591257016803587,0.007023503584828772,0.008255382982813484,0.0026988067870078016
6.07,0.77,0.07349375,0.08617131041622976,0.00704845022806624,0.008282066361958943,0.0027263851028586634
6.08,0.77,0.0736575,0.08640241151621676,0.007073384494024821,0.008308701952803026,0.002754060055549514
6.09,0.77,0.073815,0.08662738989601189,0.007098303012423999,0.008335289477709321,0.0027818047825266994
6.1000000000000005,0.77,0.07397999999999999,0.08686591114313943,0.007123206003270608,0.00836182886357798,0.0028096212140679487
6.11,0.77,0.07416375,0.08712119405585415,0.007148095430295406,0.008388322362783583,0.0028375100629578786
6.12,0.77,0.07433374999999999,0.08735817637159876,0.007172971526300397,0.008414767756122274,0.0028654872887088722
6.13,0.77,0.0745,0.08758628798189264,0.007197832515914762,0.008441162700656979,0.002893553163836136
6.140000000000001,0.77,0.07467499999999999,0.08785091425786792,0.0072226783703509285,0.008467506763532355,0.002921709536149498
6.15,0.77,0.07480625,0.0880498576456807,0.007247510595597868,0.008493801460021985,0.002949957852629816
6.16,0.77,0.07498374999999999,0.0882864649086443,0.007272329321390682,0.00852004525256998,0.0029783081151104006
6.17,0.77,0.07514749999999999,0.08854049916857032,0.007297135008322786,0.0085462385531215,0.003006760314143761
6.180000000000001,0.77,0.07531,0.0887718188134989,0.0073219281505494446,0.008572382675570553,0.003035309100294358
6.19,0.77,0.07546125,0.08898884834202293,0.0073467086717425535,0.008598480996960848,0.0030639318317850035
6.2,0.77,0.075615,0.08920548591351501,0.007371471531871378,0.00862453099080911,0.0030926049861293515
6.21,0.77,0.07578375,0.08945712787428614,0.007396222866560945,0.008650535142609309,0.0031213601132553865
6.220000000000001,0.77,0.07596,0.08972454230580436,0.0074209625697041195,0.00867649271841745,0.0031502003157102137
6.23,0.77,0.07610875,0.08993553180086623,0.0074456894984137436,0.008702401902108529,0.0031791273669676684
6.24,0.77,0.07627250000000001,0.09015334362737926,0.007470401224607274,0.008728263679937683,0.0032081163607938805
6.25,0.77,0.07643875,0.0904011644189409,0.00749509974041583,0.008754078591513507,0.0032371786858315806
6.260000000000001,0.77,0.07657625,0.09059371163332924,0.007519783405942105,0.00877984420281302,0.003266316290451831
6.2700000000000005,0.77,0.07674,0.09081801238176378,0.007544453870817773,0.008805562546631427,0.0032955287528780497
6.28,0.77,0.0769,0.09104858817972178,0.007569109363922043,0.008831234768563305,0.0033247957788279828
6.29,0.77,0.07705000000000001,0.09127484861604263,0.007593750201396347,0.00885686053647575,0.003354121505140162
6.300000000000001,0.77,0.0772175,0.09152666006369563,0.00761837763900358,0.008882438812824826,0.0033835208806195062
6.3100000000000005,0.77,0.07735875,0.09173162709292687,0.0076429881458535895,0.008907967820305375,0.0034129782754559355
6.32,0.77,0.0775425,0.09199749599948111,0.00766758839505376,0.008933452039519865,0.003442515491042401
6.33,0.77,0.0777075,0.0922395134113928,0.007692179505596333,0.008958891206665204,0.003472141585534279
