probe,time,x1,x2,loss,f1,f2,weak_gate_evolving_after_creation,weak_rep_angle_deg
pm,3.31,2.995796162121622,-2.000985607909242,1.6013395366206407,2.9348321574334006,-0.21242124972314216,0.0,89.48471750157141
pm,3.3200000000000003,2.995796162121622,-2.000985607909242,1.6000381665179064,2.9347613551017284,-0.2131514194656222,0.0,89.47614546643509
pm,3.33,2.995796162121622,-2.000985607909242,1.5987658896500885,2.934685028248528,-0.21386579977747555,0.0,89.46748642565628
pm,3.3400000000000003,2.995796162121622,-2.000985607909242,1.5975219222893704,2.9346032484458466,-0.2145648086867828,0.0,89.45874986452488
pm,3.35,2.995796162121622,-2.000985607909242,1.596305480109042,2.9345161393717705,-0.21524886386496334,0.0,89.4499402622209
pm,3.3600000000000003,2.995796162121622,-2.000985607909242,1.5951158124534466,2.934423756176093,-0.2159183675243454,0.0,89.44106079285491
pm,3.37,2.995796162121622,-2.000985607909242,1.593952186303412,2.9343262315243592,-0.21657371032528122,0.0,89.4321148045906
pm,3.3800000000000003,2.995796162121622,-2.000985607909242,1.5928138501604048,2.934223674847888,-0.21721529502371395,0.0,89.42310616597037
pm,3.39,2.995796162121622,-2.000985607909242,1.5917000915953023,2.9341161759198027,-0.21784350406761396,0.0,89.41403990932034
pm,3.4000000000000004,2.995796162121622,-2.000985607909242,1.5906101951058977,2.934003804183297,-0.21845872319972462,0.0,89.40491087055156
pm,3.41,2.995796162121622,-2.000985607909242,1.5895434793200967,2.933886689221298,-0.21906131776518611,0.0,89.39571406075208
pm,3.4200000000000004,2.995796162121622,-2.000985607909242,1.5884992500227086,2.933764921520365,-0.21965166245294826,0.0,89.38645773558504
pm,3.43,2.995796162121622,-2.000985607909242,1.5874768674668167,2.933638466090441,-0.22023010651166708,0.0,89.3771480236623
pm,3.44,2.995796162121622,-2.000985607909242,1.5864756782332643,2.9335075191202993,-0.22079699952540516,0.0,89.3677806855175
pm,3.45,2.995796162121622,-2.000985607909242,1.5854950562538352,2.933372143179804,-0.2213526810485306,0.0,89.3583619669512
pm,3.46,2.995796162121622,-2.000985607909242,1.5845343766784863,2.9332323956964523,-0.2218974907864085,0.0,89.34889896582311
pm,3.47,2.995796162121622,-2.000985607909242,1.5835930799664475,2.9330882800424734,-0.22243173426412735,0.0,89.3393963916633
pm,3.48,2.995796162121622,-2.000985607909242,1.5826705762221063,2.9329398928622528,-0.22295573137200958,0.0,89.32985188344452
pm,3.49,2.995796162121622,-2.000985607909242,1.5817662772378218,2.932787391695202,-0.22346979944930193,0.0,89.3202615139182
pm,3.5,2.995796162121622,-2.000985607909242,1.5808796080969827,2.9326308558259906,-0.2239742516499344,0.0,89.31062926429678
pm,3.5100000000000002,2.995796162121622,-2.000985607909242,1.580010038046957,2.932470307676296,-0.22446937881008638,0.0,89.30095932557546
pm,3.52,2.995796162121622,-2.000985607909242,1.5791570471652476,2.932305858363618,-0.2249554629907466,0.0,89.29125049898552
pm,3.5300000000000002,2.995796162121622,-2.000985607909242,1.5783201034200993,2.9321377222631333,-0.2254327898058262,0.0,89.28151142830691
pm,3.54,2.995796162121622,-2.000985607909242,1.5774987271107723,2.9319659312207373,-0.22590162233428235,0.0,89.27174691415976
pm,3.5500000000000003,2.995796162121622,-2.000985607909242,1.5766924540781042,2.931790522750053,-0.2263622151059,0.0,89.26195815674697
pm,3.56,2.995796162121622,-2.000985607909242,1.5759008255677731,2.9316115229340176,-0.2268148204065555,0.0,89.2521446201471
pm,3.5700000000000003,2.995796162121622,-2.000985607909242,1.5751233936275097,2.9314289787373786,-0.22725968405341737,0.0,89.24230260877368
pm,3.58,2.995796162121622,-2.000985607909242,1.5743597128925737,2.9312429980687256,-0.22769704853828987,0.0,89.23243776420907
