t,tau,S,m1,m2,L1,L2,L,Sdot_labels,Sdot_data,Ldot_labels,strong_mass,strong_theta_mean_deg,strong_theta_std_deg,strong_theta_q05_deg,strong_theta_q25_deg,strong_theta_q50_deg,strong_theta_q75_deg,strong_theta_q95_deg,strong_psi_mean_deg,strong_inactive_frac@-85.0,weak_mass,weak_theta_mean_deg,weak_theta_std_deg,weak_theta_q05_deg,weak_theta_q25_deg,weak_theta_q50_deg,weak_theta_q75_deg,weak_theta_q95_deg,weak_psi_mean_deg,weak_inactive_frac@-85.0,strip0.01@-85.0,strip0.03@-85.0,strip0.1@-85.0,E@-85.0,D1@-85.0,D2@-85.0,D1_strong_radial@-85.0,D1_strong_inrot@-85.0,D1_strong_outrot@-85.0,D1_strong@-85.0,D1_weak_radial@-85.0,D1_weak_inrot@-85.0,D1_weak_outrot@-85.0,D1_weak@-85.0,D1_other_radial@-85.0,D1_other_inrot@-85.0,D1_other_outrot@-85.0,D1_other@-85.0,D2_strong_radial@-85.0,D2_strong_inrot@-85.0,D2_strong_outrot@-85.0,D2_strong@-85.0,D2_weak_radial@-85.0,D2_weak_inrot@-85.0,D2_weak_outrot@-85.0,D2_weak@-85.0,D2_other_radial@-85.0,D2_other_inrot@-85.0,D2_other_outrot@-85.0,D2_other@-85.0
2.94,26.46,1.8418715410577748,0.9990144271092185,0.8312115954696073,0.0004229890717852256,0.007216776628417301,0.0038198828501012634,0.5744062903581167,0.5744062826831947,-0.022040058040756403,1.004489712976246,0.6204212044041935,8.851516806800213,-4.093392985242332,-3.3525000433418555,-2.6852323145354235,-0.3759850920182119,22.528771928669343,-2.3295825365400473,0.12754345545170417,0.8373324332370955,-4.0362418966618945,9.098223382333313,-27.870520369074416,-1.2821331550928732,-0.26434924677385474,-0.20569365800545375,0.0236701224029369,0.38595162198708405,1.0,0.006218969966386922,0.019522125793118274,0.09853628273069609,0.48412202640511676,-0.007076699796131408,0.00020184447195076142,-0.0002453275750343888,-9.592224568059734e-06,-0.006821680933670815,-0.007076600733273264,-0.0,-0.0,-0.0,0.0,-1.181445839311305e-07,2.2859110878234046e-08,-3.7773850965793915e-09,-9.906285814947583e-08,3.7526182614045547e-06,-0.00026541414554517655,0.00046350204116097905,0.00020184051387720701,-0.0,-0.0,-0.0,0.0,-1.1974160441369409e-11,3.928693870779409e-09,4.1353433631339556e-11,3.958073143969379e-09
2.95,26.55,1.8475415618025504,0.9990372772158489,0.8367330158162778,0.0004153773417804008,0.006796178200764614,0.0036057777712725073,0.5596214027297755,0.5596213954946896,-0.02079091951874211,1.0042764909711581,0.6025614240105265,8.821115152917617,-4.096278431559325,-3.3554239377646513,-2.6886280443329844,-0.3857706933985498,22.417725378365713,-2.374208121743696,0.1271735124179915,0.8432156717996332,-4.0366535728319235,9.103339261706681,-27.872037134110244,-1.2825508013438132,-0.2675000687110233,-0.20910535523971893,0.019246768028181448,0.40959709639722663,1.0,0.0061998973547819,0.019462441947471126,0.09824099310423018,0.48405406714486704,-0.006939063205513065,0.00022196546591938732,-0.0002422129871875323,-1.0082821894591113e-05,-0.006686669734689199,-0.006938965543771322,-0.0,-0.0,-0.0,0.0,-1.163736344699613e-07,2.24224627908761e-08,-3.710570069169198e-09,-9.76617417482544e-08,3.2822250757851086e-06,-0.00022930989593371957,0.000447989164481111,0.00022196149362317653,-0.0,-0.0,-0.0,0.0,-1.1983680970188581e-11,3.944045000867979e-09,4.02354168036906e-11,3.972296736701481e-09
2.96,26.64,1.8530644657716957,0.9990600793970063,0.842108614704783,0.00040798906672312213,0.006399746575654807,0.0034038678211889646,0.5449854758633871,0.5449854690576892,-0.019600769070423196,1.0045062036727372,0.6045856811848713,8.837741309358398,-4.098713703778395,-3.3577547004576087,-2.690816437994402,-0.38855622652391014,22.4656903699283,-2.397167677469655,0.12655850360895898,0.8485088589515284,-4.016146226836806,9.062961257217447,-27.732553115623887,-1.2725601586253614,-0.2708186350793812,-0.2126690630288012,0.014789477505220316,0.4561803798702042,1.0,0.006181465816436633,0.019404684351130377,0.09795526220910385,0.48398768301032513,-0.0068024298847415565,0.00024372871853218768,-0.00023902025818028802,-1.0605421738088756e-05,-0.006552707934183799,-0.006802333614102176,-0.0,-0.0,-0.0,0.0,-1.1461160781428011e-07,2.198549634049139e-08,-3.644527913490272e-09,-9.627063938727899e-08,2.813772860192701e-06,-0.00019201262643266857,0.0004329235860743379,0.00024372473250186205,-0.0,-0.0,-0.0,0.0,-1.199123760201893e-11,3.9588744720674216e-09,3.9146603968644394e-11,3.986029838434047e-09
2.97,26.73,1.8584418168339982,0.9990828121110686,0.8473399992258728,0.0004008204321680582,0.0060263218747505344,0.003213571153459296,0.5305131670059401,0.5305131606205262,-0.01846798659413185,1.0042807338959652,0.5867874153037226,8.805502780694045,-4.101060396188898,-3.3600446401766972,-2.693499063229367,-0.3974672892147126,22.348621800384873,-2.441329003908257,0.12618339369336218,0.8541116757463099,-4.018198467833032,9.07031942673585,-27.741665628393154,-1.27423064372215,-0.2743998370724907,-0.21648126287709846,0.010078050945299002,0.4780640921560646,1.0,0.006163633650484212,0.01930595070024478,0.09750076744064676,0.4839228778641715,-0.006666877532219058,0.0002644013857699111,-0.00023575569048714766,-1.1117171512477722e-05,-0.006419909779682807,-0.0066667826416824325,-0.0,-0.0,-0.0,0.0,-1.128599923397686e-07,2.1548752549042505e-08,-3.5792968528172544e-09,-9.489053664354335e-08,2.3475710917306557e-06,-0.0001562500971082106,0.0004182999125002588,0.00026439738648377883,-0.0,-0.0,-0.0,0.0,-1.1996879254015798e-11,3.973196114358344e-09,3.808669194638233e-11,3.99928592705071e-09
2.98,26.82,1.863675319618888,0.9991054547069925,0.8524289139297726,0.0003938673067193963,0.005674777688004166,0.0030343224973617814,0.5162179747201003,0.5162179686925296,-0.01739088016508518,1.0044997223386787,0.5889342792152621,8.820533588533653,-4.102967142438375,-3.361752167967425,-2.6949839370081072,-0.3993816444727261,22.391609627843575,-2.4637297232862485,0.1261977843027575,0.8591261861152113,-3.9994730472796904,9.032261556737623,-27.610441517874435,-1.2658069922605142,-0.2781460596311788,-0.22044375368051114,0.00532976476094784,0.5227373842707568,1.0,0.0064805767965732605,0.019251999294701845,0.09723385302992786,0.4838596303009406,-0.006532526347395088,0.0002853200803432705,-0.00023242602643993183,-1.1637971403316654e-05,-0.00628836882719598,-0.006532432825039228,-0.0,-0.0,-0.0,0.0,-1.1112019601341326e-07,2.111275081638408e-08,-3.5149106736770363e-09,-9.352235587070622e-08,1.8838622548295808e-06,-0.00012067402497478464,0.00040410623099010616,0.00028531606827015107,-0.0,-0.0,-0.0,0.0,-1.200063983349249e-11,3.987018288569608e-09,3.7055348617600325e-11,4.012072997353716e-09
2.99,26.910000000000004,1.8687668080415123,0.9991279875389604,0.8573772292253006,0.0003871253575463427,0.005344022232531805,0.002865573795039074,0.5021122616664899,0.5021122559603304,-0.01636770056573976,1.0047138725506934,0.5911813186478362,8.834884298256506,-4.104617445376761,-3.3631565276824156,-2.6961254167061512,-0.40086521370992056,22.432627766473594,-2.4858043517594126,0.12621083610930117,0.8640035204231296,-3.981660620779524,8.99537016244865,-27.483398771591176,-1.2582371516890107,-0.2821032861579858,-0.22460352844532874,0.00043528970070935236,0.5664300148965516,1.0,0.006462987308736548,0.019199802709598392,0.09697577463036566,0.4837979301315429,-0.006399476398442177,0.0003064585662801841,-0.00022903764460111277,-1.216672425055703e-05,-0.006158179862624208,-0.006399384231475878,-0.0,-0.0,-0.0,0.0,-1.0939355377869125e-07,2.067798866074112e-08,-3.4514011862381154e-09,-9.216696630418825e-08,1.4228994448345444e-06,-8.530231569193545e-05,0.0003903339581248594,0.00030645454187775843,-0.0,-0.0,-0.0,0.0,-1.2002561890656505e-11,4.000352657246333e-09,3.605221431962519e-11,4.024402309675302e-09
3.0,27.0,1.8737182340750627,0.9991503919476764,0.8621869302938328,0.00038059008829017166,0.005032999325227352,0.0027067947067587615,0.48820728163555527,0.4882072763098818,-0.015396654837008162,1.0044710481400085,0.5735098853494752,8.80010111981536,-4.106195851486362,-3.364538845351709,-2.6977790297712216,-0.40845216515850236,22.307360710259125,-2.5292259133847828,0.12582924637216794,0.8691977670347498,-3.98604857454319,9.005865600526821,-27.5034790461597,-1.2616475897491195,-0.2863158149833273,-0.22900585152949415,-0.0047110815036582165,0.585769705491134,1.0,0.006099886917719459,0.019149366945526224,0.09672629943535076,0.4837377659386264,-0.006267822150359609,0.00032779149458379364,-0.00022559683418312083,-1.2702345747854776e-05,-0.006029432145238283,-0.006267731325169258,-0.0,-0.0,-0.0,0.0,-1.0768133667994267e-07,2.0244944267585317e-08,-3.3887979426266546e-09,-9.082519035498401e-08,9.649209474410758e-07,-5.015186488885895e-05,0.00037697440223926704,0.0003277874582978491,-0.0,-0.0,-0.0,0.0,-1.2002688148062765e-11,4.013210946192433e-09,3.5076904838230175e-11,4.036285162882601e-09
3.0100000000000002,27.090000000000003,1.8785316568081365,0.999172650302605,0.8668601062287088,0.000374256820459187,0.004740689186722657,0.0025574730035909216,0.474513209064724,0.474513203997755,-0.014475918813232814,1.0046749267925505,0.5758990033231256,8.812987552439305,-4.107349390453134,-3.365354788252575,-2.6982536719289216,-0.4090951117477182,22.34388133079602,-2.550725070875184,0.12583919981283576,0.8738073073521682,-3.9698745632468486,8.971086822554442,-27.38392934437521,-1.2554320016531744,-0.29068788623082203,-0.23355436342158792,-0.009896564477424296,0.6276766996919225,1.0,0.006084329869106038,0.01910061946893563,0.09648519662729328,0.48367912514040884,-0.006137651303578116,0.0003492944308899083,-0.00022210974715635687,-1.324377097085975e-05,-0.005902208287659648,-0.006137561805786864,-0.0,-0.0,-0.0,0.0,-1.0598473518505715e-07,1.9814071547853556e-08,-3.327127607131823e-09,-8.949779124433541e-08,5.101503554467761e-07,-1.5238553959309799e-05,0.00036401878675974787,0.00034929038315588477,-0.0,-0.0,-0.0,0.0,-1.2001061642491103e-11,4.025605176001494e-09,3.412901326691781e-11,4.047733127625921e-09
3.02,27.18,1.8832092318186369,0.9991947459273396,0.8713989393831357,0.00036812072853819423,0.004466108841335907,0.002417114784937051,0.46103917370254116,0.4610391689690429,-0.013603648659048206,1.0048741593201616,0.578393670161907,8.825250915583716,-4.108262219280322,-3.3658848877373977,-2.698403191123176,-0.40932389989776813,22.378605275536426,-2.5718958850681735,0.12521681517447864,0.8782856461408086,-3.9545383370305163,8.937368267477579,-27.268322362052302,-1.249914107557142,-0.2952638450840269,-0.23829436088502587,-0.015227212289429696,0.668669112678003,1.0,0.00606929684798303,0.019053514522011115,0.09625223770210427,0.4836219965088445,-0.006009067448933155,0.0003721238354270771,-0.00021858235733972716,-1.3810742804510263e-05,-0.005776586163309204,-0.0060089792634534425,-0.0,-0.0,-0.0,0.0,-1.0430486725914726e-07,1.9385801984447154e-08,-3.2664144278049776e-09,-8.818547970250507e-08,5.880407390648406e-08,2.0602172401105304e-05,0.00035145880019410355,0.00037211977666911527,-0.0,-0.0,-0.0,0.0,-1.1997726848405644e-11,4.037547952173467e-09,3.320811187054769e-11,4.058758337195609e-09
3.0300000000000002,27.270000000000003,1.8877532009059097,0.9992166632060487,0.8758056952227739,0.00036217688626935215,0.004208312416052257,0.0022852446511608046,0.4477932954624856,0.4477932911725298,-0.012777991437676047,1.004614958763635,0.5608972087981244,8.788159456112442,-4.109119506936099,-3.3664115132196253,-2.699087131258006,-0.4156785837983905,22.245889696128863,-2.614536797909885,0.1248294007520951,0.8830888121585293,-3.961081917159936,8.95073345049245,-27.29854442916128,-1.2549627965583412,-0.30008659512507097,-0.24326966379520304,-0.020805973998235083,0.6856158301531187,1.0,0.006054773428024686,0.018647752733638015,0.09602717054071958,0.4835663718924746,-0.005882107378025494,0.0003938671458886677,-0.00021502040721347183,-1.4360491962357045e-05,-0.005652639589934146,-0.005882020489109974,-0.0,-0.0,-0.0,0.0,-1.0264277775980455e-07,1.896054261815497e-08,-3.2066803798832682e-09,-8.688891552153285e-08,-3.889015472986785e-07,5.496510555541406e-05,0.00033928687250597085,0.0003938630765140863,-0.0,-0.0,-0.0,0.0,-1.1992730993854979e-11,4.049053070747748e-09,3.231375495203222e-11,4.069374094705925e-09
3.04,27.36,1.8921658821798886,0.9992383874272229,0.8800827125302098,0.00035642026891516816,0.003966391209146658,0.002161405739030913,0.4347827237285625,0.4347827199948966,-0.011997094712763017,1.0048044231683797,0.5635512016117334,8.799086651399133,-4.109566661617069,-3.3663875714081866,-2.698606234489551,-0.41510084363869365,22.276480368093136,-2.635123296510035,0.12483560096953024,0.8873120254691067,-3.94724983658123,8.918935377144262,-27.189729931322297,-1.2506636662064035,-0.3050619651925656,-0.24838549827157966,-0.02642391355706812,0.7249387137975086,1.0,0.006040745360818579,0.018921807134676057,0.09580982461808105,0.4835122263405918,-0.005756857289635415,0.00041571199797540124,-0.00021142979623856956,-1.49129969232735e-05,-0.005530428887757579,-0.0057567716809194215,-0.0,-0.0,-0.0,0.0,-1.0099944621111447e-07,1.8538674673129685e-08,-3.147944463781774e-09,-8.560871600176655e-08,-8.328124782826819e-07,8.90487075090379e-05,0.00032749202335553005,0.00041570791838628534,-0.0,-0.0,-0.0,0.0,-1.1986110776432979e-11,4.060130438539834e-09,3.144548081117835e-11,4.07958980857458e-09
3.0500000000000003,27.450000000000003,1.8964496605519763,0.999259904944651,0.8842323939313198,0.00035084583421203655,0.003739473563715631,0.002045159698963834,0.42201367607969686,0.42201367251427035,-0.011259115191355083,1.0049894585446506,0.566315224084915,8.809446385804277,-4.109788436961126,-3.366094803173191,-2.697818334911044,-0.41412675186944214,22.30544766562592,-2.655382656510976,0.12484078960086904,0.8914107649728897,-3.934185414111152,8.888099432564498,-27.08452339298753,-1.2469918329125922,-0.3102329136494063,-0.2536857075497342,-0.03218426886613795,0.7634085345312799,1.0,0.006354841512059983,0.018879433539952688,0.09559995373579216,0.4834595433378707,-0.005633381512932623,0.00043763759599228764,-0.0002078160690646339,-1.5467293435900333e-05,-0.005410013804973447,-0.0056332971674739815,-0.0,-0.0,-0.0,0.0,-9.93757866749426e-08,1.812055208852279e-08,-3.090224057595993e-09,-8.434545864401579e-08,-1.2727616691706247e-06,0.0001228410783898939,0.00031606535980119234,0.0004376336765219156,-0.0,-0.0,-0.0,0.0,-1.1981901153901758e-11,3.900833481264145e-09,3.061895274560487e-11,3.9194705328558485e-09
