psi_deg,D1<0<D2_on_window,D1_at_cross,D2_at_cross,S,dD1,dD2,final_excess,n_sign_changes,opposite_signs_at_cross,rise,strong_share_of_swing,t_cross,t_min,t_rev
-74.8,True,-0.002204401824193798,0.0022044018241937978,0.0011484106875188638,0.0006356592156222772,0.0002500593501852154,0.0013870740514010937,1,True,0.0013870740514010937,0.7176762915009678,4.265253166859312,4.2700000000000005,4.2700000000000005
-74.7,True,-0.0022070956798488114,0.0022070956798488114,0.0011327943181372313,0.0006298949765810241,0.00024786627268210196,0.001369796858019967,1,True,0.001369796858019967,0.7176153847185851,4.2728489576679936,4.2700000000000005,4.2700000000000005
-74.6,True,-0.002210763830388104,0.002210763830388104,0.0011173058275811831,0.0006250556122889355,0.0002452395653412295,0.001352513842129477,1,True,0.001352513842129477,0.7182110487972335,4.279791183218707,4.28,4.28
-74.5,True,-0.002214384590019907,0.0022143845900199073,0.0011018837294433093,0.0006205854382868949,0.00024091750082850388,0.0013354119966537126,1,True,0.0013354119966537126,0.7203520848392221,4.286796270483275,4.29,4.29
-74.4,True,-0.002216908339474385,0.0022169083394743844,0.0010865182902028425,0.0006149716224719578,0.00023918797143204773,0.0013182912018277482,1,True,0.0013182912018277482,0.7199727391238214,4.294536666112017,4.29,4.3
-74.3,True,-0.002220417382703458,0.002220417382703458,0.0010712794597613207,0.0006103969413794072,0.0002361440333252941,0.001301318222225678,1,True,0.001301318222225678,0.7210483126257791,4.301603802174607,4.3,4.3
-74.2,True,-0.002222829388666005,0.0022228293886660056,0.001056116740975499,0.0006053699812210013,0.00023161876174833266,0.0012844503287989806,1,True,0.0012844503287989806,0.7232713537739672,4.309426483370231,4.3100000000000005,4.3100000000000005
-74.1,True,-0.0022262280750250784,0.0022262280750250784,0.0010410218537644789,0.0006007046845712162,0.00023012989095850481,0.001267562575680281,1,True,0.001267562575680281,0.7230135844890913,4.316601358155939,4.32,4.32
-74.0,True,-0.002229575952857477,0.0022295759528574766,0.0010260079615214135,0.0005965427964357665,0.00022583918074174343,0.0012508902213244077,1,True,0.0012508902213244077,0.725384083054879,4.323799844134331,4.32,4.32
-73.9,True,-0.002231813705012285,0.0022318137050122856,0.0010111243185804142,0.0005912746290323238,0.00022413919155719973,0.0012342001474328068,1,True,0.0012342001474328068,0.725122157734397,4.331766744072273,4.33,4.33
-73.8,True,-0.002235048780992482,0.0022350487809924815,0.0009962800222819146,0.0005870238973661015,0.00022113281187524127,0.0012176708486975052,1,True,0.0012176708486975052,0.7263738463758721,4.339048690197306,4.34,4.34
-73.7,True,-0.002237172952797779,0.002237172952797779,0.0009815833997389722,0.0005823880244454644,0.00021662906972291437,0.0012012093485285757,1,True,0.0012012093485285757,0.7288805567440543,4.347125644504963,4.3500000000000005,4.3500000000000005
-73.6,True,-0.0022402940741643707,0.0022402940741643703,0.0009668911853463191,0.0005780176550015739,0.00021517203464803143,0.0011847880184004955,1,True,0.0011847880184004955,0.728725628363772,4.35450400495581,4.3500000000000005,4.36
-73.5,True,-0.0022433640064463156,0.0022433640064463156,0.0009523653832843593,0.0005741728501801827,0.00021090987488790952,0.0011685396634961709,1,True,0.0011685396634961709,0.7313533107359905,4.361909833925214,4.36,4.36
-73.4,True,-0.00224530962499657,0.0022453096249965693,0.0009379043395214559,0.0005692531553049655,0.00020921949237744314,0.0011523010042714943,1,True,0.0011523010042714943,0.731243617871083,4.370119023139267,4.37,4.37
-73.3,True,-0.002248264043254519,0.002248264043254519,0.0009234940138443948,0.0005653869539885784,0.0002059626815681245,0.0011362032428502422,1,True,0.0011362032428502422,0.7329840164901668,4.377634409734351,4.38,4.38
-73.2,True,-0.002250092075377774,0.0022500920753777734,0.0009092602495984203,0.0005610591430587151,0.0002017874774592125,0.0011201563493137834,1,True,0.0011201563493137834,0.7354809315112246,4.3859553111493295,4.39,4.39
