cell_id,mu2,sigma,time,frozen_gate_rel_rms_all,block_selector_rel_rms_all,frozen_gate_rel_rms_cluster1,block_selector_rel_rms_cluster1,frozen_gate_rel_rms_cluster2,block_selector_rel_rms_cluster2
mu2_2p000__sigma_0p180,2.0,0.18,7.19,0.014251936122265052,0.0747817575058555,0.01384227461187934,0.07364738816191928,0.015124404056458506,0.07724808077768511
mu2_2p000__sigma_0p180,2.0,0.18,7.2,0.014286611262035575,0.07476927369503938,0.013868976372667501,0.07362374164140237,0.015175407679894577,0.07725927168722883
mu2_2p000__sigma_0p180,2.0,0.18,7.21,0.014321253034013548,0.0747771388878131,0.013895632016091246,0.07363002637324757,0.015226383303367466,0.07727048714567412
mu2_2p000__sigma_0p180,2.0,0.18,7.220000000000001,0.014355859598257968,0.0747748767293616,0.013922242559808468,0.073621394442422,0.015277323362743537,0.07728172815351815
mu2_2p000__sigma_0p180,2.0,0.18,7.23,0.014390434100065672,0.07477264688810861,0.013948808233311422,0.07361279474174098,0.015328237035272396,0.07729299802995492
mu2_2p000__sigma_0p180,2.0,0.18,7.24,0.014424978884002107,0.0747704508534433,0.013975329876259615,0.07360422774299503,0.015379129796608474,0.07730430041837195
mu2_2p000__sigma_0p180,2.0,0.18,7.25,0.014459496151584681,0.07476828948401396,0.014001808904917954,0.0735956922917248,0.015430005509977708,0.07731564044747788
mu2_2p000__sigma_0p180,2.0,0.18,7.260000000000001,0.014493986452880893,0.07476616273310052,0.014028245674842881,0.07358718745776534,0.015480865180420779,0.07732701994155489
mu2_2p000__sigma_0p180,2.0,0.18,7.2700000000000005,0.014528448750366917,0.0747640663998812,0.01405463867280317,0.07357871100224221,0.015531708788453795,0.07733843054972987
mu2_2p000__sigma_0p180,2.0,0.18,7.28,0.014562881518040815,0.07476199986696827,0.014080987606154581,0.07357026483692006,0.01558253237853181,0.07734986631004317
mu2_2p000__sigma_0p180,2.0,0.18,7.29,0.014597289232403695,0.07475996469326766,0.014107292983216634,0.07356184635915487,0.015633348473619982,0.07736133758660795
mu2_2p000__sigma_0p180,2.0,0.18,7.300000000000001,0.014631665594304519,0.07475796006436349,0.01413355673095187,0.07355345770950478,0.01568413426594502,0.07737283728820196
mu2_2p000__sigma_0p180,2.0,0.18,7.3100000000000005,0.014666013757262127,0.07475598892987417,0.014159777934905114,0.07354509864820333,0.015734901165092217,0.07738437511531046
mu2_2p000__sigma_0p180,2.0,0.18,7.32,0.014700328941556715,0.07475404983591222,0.014185956514950068,0.07353676993968022,0.015785635024494565,0.07739594490670627
mu2_2p000__sigma_0p180,2.0,0.18,7.33,0.014734616373230914,0.07475214221603269,0.014212091837215246,0.07352846907935823,0.01583635290389013,0.07740755021271596
mu2_2p000__sigma_0p180,2.0,0.18,7.340000000000001,0.014768870367134652,0.07475026286943796,0.0142381838153233,0.07352019597117244,0.015887037970116584,0.07741918126151903
mu2_2p000__sigma_0p180,2.0,0.18,7.3500000000000005,0.014803094351046183,0.07475899801470597,0.014264235344459511,0.07352754631033781,0.015937694811828145,0.07743084235147533
mu2_2p000__sigma_0p180,2.0,0.18,7.36,0.014837282290653172,0.07474659514889756,0.014290244904968533,0.07350373943463238,0.015988308469589256,0.07744252614183249
mu2_2p000__sigma_0p180,2.0,0.18,7.37,0.014871437280101372,0.07474480427476102,0.01431620976964893,0.07349555243919394,0.016038893747389583,0.07745423974532124
mu2_2p000__sigma_0p180,2.0,0.18,7.380000000000001,0.014905567759696163,0.07474304677755152,0.014342130283926209,0.07348739308399464,0.01608947526807358,0.07746599524080656
