cell_id,metric,mean,median,max,p95
mu2_2p200__sigma_0p120,frozen_gate_rel_rms_all,0.010578950014451215,0.010918845954912281,0.021371626464758483,0.020530726496563713
mu2_2p200__sigma_0p120,block_selector_rel_rms_all,0.12787667659519836,0.126693985464126,0.13872586574892745,0.13390227405570995
mu2_2p200__sigma_0p120,frozen_gate_rel_rms_cluster1,0.009738136352357383,0.010766542039260295,0.017462392100330647,0.01695618371803167
mu2_2p200__sigma_0p120,frozen_gate_rel_rms_cluster2,0.011694142117083953,0.011195413959835528,0.027160270436336884,0.025874576487717654
mu2_2p200__sigma_0p120,block_selector_rel_rms_cluster1,0.13164457368133037,0.13072052893486713,0.13826577028662498,0.13692185404348334
mu2_2p200__sigma_0p120,block_selector_rel_rms_cluster2,0.12054750854948915,0.11900673869897324,0.13994713636175535,0.12795722761240186
mu2_2p200__sigma_0p150,frozen_gate_rel_rms_all,0.012182150840933706,0.012661748990974744,0.024567628480689562,0.02361112000076456
mu2_2p200__sigma_0p150,block_selector_rel_rms_all,0.10985835848230226,0.10862993320326261,0.11892185276847081,0.11545540565963362
mu2_2p200__sigma_0p150,frozen_gate_rel_rms_cluster1,0.010988030745326095,0.012082141004181242,0.020009036256539523,0.019401066293797942
mu2_2p200__sigma_0p150,frozen_gate_rel_rms_cluster2,0.013894948135491228,0.013668610300863701,0.031286868282339536,0.029865477528303708
mu2_2p200__sigma_0p150,block_selector_rel_rms_cluster1,0.1084631227335124,0.10744566518696573,0.11474236129675192,0.11428692486903885
mu2_2p200__sigma_0p150,block_selector_rel_rms_cluster2,0.11243535227968204,0.11150404671240557,0.12949547715695017,0.11843799527783364
mu2_2p200__sigma_0p180,frozen_gate_rel_rms_all,0.013828537182389135,0.014438232386468991,0.02772823123623531,0.026656698035617297
mu2_2p200__sigma_0p180,block_selector_rel_rms_all,0.10084508323453746,0.09951166392718591,0.11055462412937861,0.10609549296314945
mu2_2p200__sigma_0p180,frozen_gate_rel_rms_cluster1,0.01256684388867411,0.01376364107981469,0.023051703349932416,0.022331754406361343
mu2_2p200__sigma_0p180,frozen_gate_rel_rms_cluster2,0.015687519794374157,0.015606335519575798,0.03473390306087143,0.0331816704467137
mu2_2p200__sigma_0p180,block_selector_rel_rms_cluster1,0.10314044622055941,0.102047074180633,0.11027218207131274,0.10915832784862628
mu2_2p200__sigma_0p180,block_selector_rel_rms_cluster2,0.09640373466683326,0.09570542500806313,0.11131444608915816,0.100798246423925
